LME code,LME_NAME,CHI scores,Ocean Acid-ification,SLR,SST,UV,Artisanal Fishing,Demersal Destructive Fishing,Demersal Non-destructive High Bycatch Fishing,Demersal Non-destructive Low Bycatch Fishing,Pelagic High Bycatch Fishing,Pelagic Low Bycatch Fishing,Shipping,Ocean-based pollution,Oil Rigs,Invasive Species,Inorganic Pollution,Light Pollution,Nutrient Pollution,Organic Pollution,Direct Human Impact,,,
1,East Bering Sea,3.0990557090,0.5823575580,0.0629320550,1.1332253210,0.7259712810,0.0000094100,0.2183744320,0.0366949200,0.0373911320,0.0000000000,0.0014240360,0.1255626580,0.1691294330,0.0000000000,0.0032476890,0.0010203840,0.0000759000,0.0007606150,0.0000690000,0.0008098570,,,
2,Gulf of Alaska,2.9104007650,0.8022393670,0.0393674180,0.7776953530,0.7008552520,0.0008301670,0.0517920850,0.0084749820,0.0191923430,0.0000000000,0.0010659800,0.1999169110,0.2755916590,0.0000210000,0.0199460860,0.0033167940,0.0010979260,0.0018718600,0.0001666900,0.0069588610,,,
3,California Current,2.9521131520,0.9657613770,0.0102818360,0.5499874170,0.7008028640,0.0002947490,0.0258712840,0.0150402610,0.0392118930,0.0031637060,0.0052176850,0.2481373690,0.3747646680,0.0000000000,0.0045379490,0.0032878360,0.0005238950,0.0015970700,0.0004768930,0.0031544050,,,
4,Gulf of California,3.2251271990,0.8841846280,0.1201244080,1.3712857270,0.3845719960,0.0010601530,0.0737154370,0.0119968910,0.1444355490,0.0026658320,0.0039382750,0.0644903240,0.0962952670,0.0000000000,0.0108444910,0.0167849260,0.0010682690,0.0148362970,0.0067424270,0.0160862690,,,
5,Gulf of Mexico,3.8053221970,0.9145106400,0.2220531090,1.4116692210,0.5333829300,0.0004881930,0.0823696300,0.0459435530,0.0425187440,0.0115361920,0.0007480650,0.1918067880,0.2851965360,0.0010641300,0.0211114920,0.0124472110,0.0017598130,0.0152570920,0.0037740860,0.0076847630,,,
6,Southeast U.S. Continental Shelf,3.3829886210,0.8730229650,0.2229436220,1.0379365050,0.3301356600,0.0029739370,0.0872501860,0.0273623180,0.0276296150,0.0033611300,0.0003669810,0.2812453090,0.3815357480,0.0000000000,0.0383467780,0.0255023340,0.0036105580,0.0199228520,0.0024105390,0.0174315830,,,
7,Northeast U.S. Continental Shelf,3.7279091410,0.5227448920,0.3132220060,1.1277695090,0.4677202270,0.0044623640,0.2758570890,0.1120094160,0.0810439210,0.0000000000,0.0228104440,0.3118301570,0.2944133570,0.0000000000,0.0858710500,0.0285333000,0.0100272220,0.0189365470,0.0040727030,0.0465849440,,,
8,Scotian Shelf,4.0045750170,0.5501113750,0.2317633010,1.5547035660,0.5510548460,0.0031476970,0.1732195360,0.1641242130,0.0753717900,0.0000000000,0.0470897750,0.3015509680,0.2627713760,0.0000000000,0.0499787850,0.0090671480,0.0045723940,0.0046628920,0.0003004750,0.0210848900,,,
9,Labrador - Newfoundland,3.8600020080,0.6668463840,0.1032355600,1.5792735030,0.6046793340,0.0021089030,0.2353103240,0.1114749080,0.0370871730,0.0000000000,0.0219327740,0.2427654800,0.2191558870,0.0001168850,0.0159864200,0.0045579590,0.0019752170,0.0021309290,0.0003333300,0.0110310220,,,
10,Insular Pacific-Hawaiian,3.5199367990,1.1951008280,0.0058622230,1.3261195340,0.6662180540,0.0003989270,0.0029128910,0.0018256620,0.0055956990,0.0003578220,0.0011186790,0.1183800530,0.1899626880,0.0000000000,0.0014091510,0.0012774300,0.0003298260,0.0014341010,0.0001783000,0.0014548950,,,
