LME,CODE,PROD,YEAR,MONTH,MEAN
AGULHAS_CURRENT,30,CHL,1998,01,0.1054000000000000
AGULHAS_CURRENT,30,CHL,1998,02,0.1328000000000000
AGULHAS_CURRENT,30,CHL,1998,03,0.1322000000000000
AGULHAS_CURRENT,30,CHL,1998,04,0.1375000000000000
AGULHAS_CURRENT,30,CHL,1998,05,0.1486000000000000
AGULHAS_CURRENT,30,CHL,1998,06,0.1802000000000000
AGULHAS_CURRENT,30,CHL,1998,07,0.2136000000000000
AGULHAS_CURRENT,30,CHL,1998,08,0.2212000000000000
AGULHAS_CURRENT,30,CHL,1998,09,0.1928000000000000
AGULHAS_CURRENT,30,CHL,1998,10,0.1684000000000000
AGULHAS_CURRENT,30,CHL,1998,11,0.1380000000000000
AGULHAS_CURRENT,30,CHL,1998,12,0.1194000000000000
AGULHAS_CURRENT,30,CHL,1999,01,0.1134000000000000
AGULHAS_CURRENT,30,CHL,1999,02,0.1392000000000000
AGULHAS_CURRENT,30,CHL,1999,03,0.1356000000000000
AGULHAS_CURRENT,30,CHL,1999,04,0.1402000000000000
AGULHAS_CURRENT,30,CHL,1999,05,0.1546000000000000
AGULHAS_CURRENT,30,CHL,1999,06,0.1732000000000000
AGULHAS_CURRENT,30,CHL,1999,07,0.1995000000000000
AGULHAS_CURRENT,30,CHL,1999,08,0.1837000000000000
AGULHAS_CURRENT,30,CHL,1999,09,0.1900000000000000
AGULHAS_CURRENT,30,CHL,1999,10,0.1756000000000000
AGULHAS_CURRENT,30,CHL,1999,11,0.1220000000000000
AGULHAS_CURRENT,30,CHL,1999,12,0.1124000000000000
AGULHAS_CURRENT,30,CHL,2000,01,0.1292000000000000
AGULHAS_CURRENT,30,CHL,2000,02,0.1527000000000000
AGULHAS_CURRENT,30,CHL,2000,03,0.1514000000000000
AGULHAS_CURRENT,30,CHL,2000,04,0.1592000000000000
AGULHAS_CURRENT,30,CHL,2000,05,0.1741000000000000
AGULHAS_CURRENT,30,CHL,2000,06,0.1804000000000000
AGULHAS_CURRENT,30,CHL,2000,07,0.2086000000000000
AGULHAS_CURRENT,30,CHL,2000,08,0.1970000000000000
AGULHAS_CURRENT,30,CHL,2000,09,0.1821000000000000
AGULHAS_CURRENT,30,CHL,2000,10,0.1519000000000000
AGULHAS_CURRENT,30,CHL,2000,11,0.1256000000000000
AGULHAS_CURRENT,30,CHL,2000,12,0.1217000000000000
AGULHAS_CURRENT,30,CHL,2001,01,0.1362000000000000
AGULHAS_CURRENT,30,CHL,2001,02,0.1372000000000000
AGULHAS_CURRENT,30,CHL,2001,03,0.1380000000000000
AGULHAS_CURRENT,30,CHL,2001,04,0.1431000000000000
AGULHAS_CURRENT,30,CHL,2001,05,0.1602000000000000
AGULHAS_CURRENT,30,CHL,2001,06,0.1882000000000000
