LME,CODE,PROD,YEAR,MONTH,MEAN
BAY_OF_BENGAL,34,CHL,1998,01,0.2993000000000000
BAY_OF_BENGAL,34,CHL,1998,02,0.2692000000000000
BAY_OF_BENGAL,34,CHL,1998,03,0.2503000000000000
BAY_OF_BENGAL,34,CHL,1998,04,0.2000000000000000
BAY_OF_BENGAL,34,CHL,1998,05,0.1785000000000000
BAY_OF_BENGAL,34,CHL,1998,06,0.2157000000000000
BAY_OF_BENGAL,34,CHL,1998,07,0.2580000000000000
BAY_OF_BENGAL,34,CHL,1998,08,0.2672000000000000
BAY_OF_BENGAL,34,CHL,1998,09,0.2957000000000000
BAY_OF_BENGAL,34,CHL,1998,10,0.2912000000000000
BAY_OF_BENGAL,34,CHL,1998,11,0.2412000000000000
BAY_OF_BENGAL,34,CHL,1998,12,0.2563000000000000
BAY_OF_BENGAL,34,CHL,1999,01,0.2488000000000000
BAY_OF_BENGAL,34,CHL,1999,02,0.2349000000000000
BAY_OF_BENGAL,34,CHL,1999,03,0.2097000000000000
BAY_OF_BENGAL,34,CHL,1999,04,0.2320000000000000
BAY_OF_BENGAL,34,CHL,1999,05,0.1707000000000000
BAY_OF_BENGAL,34,CHL,1999,06,0.2444000000000000
BAY_OF_BENGAL,34,CHL,1999,07,0.2530000000000000
BAY_OF_BENGAL,34,CHL,1999,08,0.2874000000000000
BAY_OF_BENGAL,34,CHL,1999,09,0.2860000000000000
BAY_OF_BENGAL,34,CHL,1999,10,0.2499000000000000
BAY_OF_BENGAL,34,CHL,1999,11,0.2701000000000000
BAY_OF_BENGAL,34,CHL,1999,12,0.2814000000000000
BAY_OF_BENGAL,34,CHL,2000,01,0.2662000000000000
BAY_OF_BENGAL,34,CHL,2000,02,0.2288000000000000
BAY_OF_BENGAL,34,CHL,2000,03,0.1793000000000000
BAY_OF_BENGAL,34,CHL,2000,04,0.1700000000000000
BAY_OF_BENGAL,34,CHL,2000,05,0.1628000000000000
BAY_OF_BENGAL,34,CHL,2000,06,0.2075000000000000
BAY_OF_BENGAL,34,CHL,2000,07,0.2399000000000000
BAY_OF_BENGAL,34,CHL,2000,08,0.2451000000000000
BAY_OF_BENGAL,34,CHL,2000,09,0.2353000000000000
BAY_OF_BENGAL,34,CHL,2000,10,0.2421000000000000
BAY_OF_BENGAL,34,CHL,2000,11,0.2162000000000000
BAY_OF_BENGAL,34,CHL,2000,12,0.2310000000000000
BAY_OF_BENGAL,34,CHL,2001,01,0.2257000000000000
BAY_OF_BENGAL,34,CHL,2001,02,0.2055000000000000
BAY_OF_BENGAL,34,CHL,2001,03,0.2004000000000000
BAY_OF_BENGAL,34,CHL,2001,04,0.1572000000000000
BAY_OF_BENGAL,34,CHL,2001,05,0.1641000000000000
BAY_OF_BENGAL,34,CHL,2001,06,0.1929000000000000
BAY_OF_BENGAL,34,CHL,2001,07,0.1898000000000000
BAY_OF_BENGAL,34,CHL,2001,08,0.2517000000000000
BAY_OF_BENGAL,34,CHL,2001,09,0.2356000000000000
BAY_OF_BENGAL,34,CHL,2001,10,0.2262000000000000
BAY_OF_BENGAL,34,CHL,2001,11,0.2210000000000000
BAY_OF_BENGAL,34,CHL,2001,12,0.2356000000000000
BAY_OF_BENGAL,34,CHL,2002,01,0.2523000000000000
BAY_OF_BENGAL,34,CHL,2002,02,0.2242000000000000
BAY_OF_BENGAL,34,CHL,2002,03,0.1955000000000000
BAY_OF_BENGAL,34,CHL,2002,04,0.1612000000000000
BAY_OF_BENGAL,34,CHL,2002,05,0.1601000000000000
BAY_OF_BENGAL,34,CHL,2002,06,0.1740000000000000
BAY_OF_BENGAL,34,CHL,2002,07,0.2326000000000000
BAY_OF_BENGAL,34,CHL,2002,08,0.2785000000000000
BAY_OF_BENGAL,34,CHL,2002,09,0.2624000000000000
BAY_OF_BENGAL,34,CHL,2002,10,0.2116000000000000
BAY_OF_BENGAL,34,CHL,2002,11,0.2104000000000000
BAY_OF_BENGAL,34,CHL,2002,12,0.2077000000000000
BAY_OF_BENGAL,34,CHL,2003,01,0.2120000000000000
BAY_OF_BENGAL,34,CHL,2003,02,0.1885000000000000
BAY_OF_BENGAL,34,CHL,2003,03,0.1675000000000000
BAY_OF_BENGAL,34,CHL,2003,04,0.1585000000000000
BAY_OF_BENGAL,34,CHL,2003,05,0.1706000000000000
BAY_OF_BENGAL,34,CHL,2003,06,0.1822000000000000
BAY_OF_BENGAL,34,CHL,2003,07,0.2374000000000000
BAY_OF_BENGAL,34,CHL,2003,08,0.2656000000000000
BAY_OF_BENGAL,34,CHL,2003,09,0.2570000000000000
BAY_OF_BENGAL,34,CHL,2003,10,0.2470000000000000
BAY_OF_BENGAL,34,CHL,2003,11,0.2135000000000000
BAY_OF_BENGAL,34,CHL,2003,12,0.2390000000000000
BAY_OF_BENGAL,34,CHL,2004,01,0.2454000000000000
BAY_OF_BENGAL,34,CHL,2004,02,0.2119000000000000
BAY_OF_BENGAL,34,CHL,2004,03,0.1892000000000000
BAY_OF_BENGAL,34,CHL,2004,04,0.1627000000000000
BAY_OF_BENGAL,34,CHL,2004,05,0.1686000000000000
BAY_OF_BENGAL,34,CHL,2004,06,0.1913000000000000
BAY_OF_BENGAL,34,CHL,2004,07,0.2202000000000000
BAY_OF_BENGAL,34,CHL,2004,08,0.2793000000000000
BAY_OF_BENGAL,34,CHL,2004,09,0.2352000000000000
BAY_OF_BENGAL,34,CHL,2004,10,0.2186000000000000
BAY_OF_BENGAL,34,CHL,2004,11,0.2068000000000000
BAY_OF_BENGAL,34,CHL,2004,12,0.2132000000000000
BAY_OF_BENGAL,34,CHL,2005,01,0.2242000000000000
BAY_OF_BENGAL,34,CHL,2005,02,0.1914000000000000
BAY_OF_BENGAL,34,CHL,2005,03,0.1864000000000000
BAY_OF_BENGAL,34,CHL,2005,04,0.1645000000000000
BAY_OF_BENGAL,34,CHL,2005,05,0.1540000000000000
BAY_OF_BENGAL,34,CHL,2005,06,0.2020000000000000
BAY_OF_BENGAL,34,CHL,2005,07,0.2145000000000000
BAY_OF_BENGAL,34,CHL,2005,08,0.2386000000000000
BAY_OF_BENGAL,34,CHL,2005,09,0.2595000000000000
BAY_OF_BENGAL,34,CHL,2005,10,0.2273000000000000
