LME,CODE,PROD,YEAR,MONTH,MEAN
BEAUFORT_SEA,55,CHL,1998,01,NaN
BEAUFORT_SEA,55,CHL,1998,02,NaN
BEAUFORT_SEA,55,CHL,1998,03,NaN
BEAUFORT_SEA,55,CHL,1998,04,0.9936000000000000
BEAUFORT_SEA,55,CHL,1998,05,1.210000000000000
BEAUFORT_SEA,55,CHL,1998,06,0.6076000000000000
BEAUFORT_SEA,55,CHL,1998,07,0.4711000000000000
BEAUFORT_SEA,55,CHL,1998,08,0.5354000000000000
BEAUFORT_SEA,55,CHL,1998,09,0.7249000000000000
BEAUFORT_SEA,55,CHL,1998,10,NaN
BEAUFORT_SEA,55,CHL,1998,11,NaN
BEAUFORT_SEA,55,CHL,1998,12,NaN
BEAUFORT_SEA,55,CHL,1999,01,NaN
BEAUFORT_SEA,55,CHL,1999,02,NaN
BEAUFORT_SEA,55,CHL,1999,03,NaN
BEAUFORT_SEA,55,CHL,1999,04,NaN
BEAUFORT_SEA,55,CHL,1999,05,0.6090000000000000
BEAUFORT_SEA,55,CHL,1999,06,0.9240000000000000
BEAUFORT_SEA,55,CHL,1999,07,0.8695000000000001
BEAUFORT_SEA,55,CHL,1999,08,0.6874000000000000
BEAUFORT_SEA,55,CHL,1999,09,0.7105000000000000
BEAUFORT_SEA,55,CHL,1999,10,NaN
BEAUFORT_SEA,55,CHL,1999,11,NaN
BEAUFORT_SEA,55,CHL,1999,12,NaN
BEAUFORT_SEA,55,CHL,2000,01,NaN
BEAUFORT_SEA,55,CHL,2000,02,NaN
BEAUFORT_SEA,55,CHL,2000,03,NaN
BEAUFORT_SEA,55,CHL,2000,04,NaN
BEAUFORT_SEA,55,CHL,2000,05,0.2617000000000000
BEAUFORT_SEA,55,CHL,2000,06,0.3246000000000000
BEAUFORT_SEA,55,CHL,2000,07,1.062000000000000
BEAUFORT_SEA,55,CHL,2000,08,0.6594000000000000
BEAUFORT_SEA,55,CHL,2000,09,0.6534000000000000
BEAUFORT_SEA,55,CHL,2000,10,NaN
BEAUFORT_SEA,55,CHL,2000,11,NaN
BEAUFORT_SEA,55,CHL,2000,12,NaN
BEAUFORT_SEA,55,CHL,2001,01,NaN
BEAUFORT_SEA,55,CHL,2001,02,NaN
BEAUFORT_SEA,55,CHL,2001,03,NaN
BEAUFORT_SEA,55,CHL,2001,04,0.4383000000000000
BEAUFORT_SEA,55,CHL,2001,05,0.3041000000000000
BEAUFORT_SEA,55,CHL,2001,06,0.5055000000000000
BEAUFORT_SEA,55,CHL,2001,07,0.8702000000000000
BEAUFORT_SEA,55,CHL,2001,08,0.9219000000000001
BEAUFORT_SEA,55,CHL,2001,09,0.9012000000000000
BEAUFORT_SEA,55,CHL,2001,10,NaN
BEAUFORT_SEA,55,CHL,2001,11,NaN
BEAUFORT_SEA,55,CHL,2001,12,NaN
BEAUFORT_SEA,55,CHL,2002,01,NaN
BEAUFORT_SEA,55,CHL,2002,02,NaN
