LME,CODE,PROD,YEAR,MONTH,MEAN
CALIFORNIA_CURRENT,3,CHL,1998,01,0.2286000000000000
CALIFORNIA_CURRENT,3,CHL,1998,02,0.2485000000000000
CALIFORNIA_CURRENT,3,CHL,1998,03,0.2083000000000000
CALIFORNIA_CURRENT,3,CHL,1998,04,0.2041000000000000
CALIFORNIA_CURRENT,3,CHL,1998,05,0.1608000000000000
CALIFORNIA_CURRENT,3,CHL,1998,06,0.1843000000000000
CALIFORNIA_CURRENT,3,CHL,1998,07,0.1620000000000000
CALIFORNIA_CURRENT,3,CHL,1998,08,0.1489000000000000
CALIFORNIA_CURRENT,3,CHL,1998,09,0.1592000000000000
CALIFORNIA_CURRENT,3,CHL,1998,10,0.1677000000000000
CALIFORNIA_CURRENT,3,CHL,1998,11,0.1740000000000000
CALIFORNIA_CURRENT,3,CHL,1998,12,0.2598000000000000
CALIFORNIA_CURRENT,3,CHL,1999,01,0.2551000000000000
CALIFORNIA_CURRENT,3,CHL,1999,02,0.2427000000000000
CALIFORNIA_CURRENT,3,CHL,1999,03,0.2334000000000000
CALIFORNIA_CURRENT,3,CHL,1999,04,0.2307000000000000
CALIFORNIA_CURRENT,3,CHL,1999,05,0.2673000000000000
CALIFORNIA_CURRENT,3,CHL,1999,06,0.2426000000000000
CALIFORNIA_CURRENT,3,CHL,1999,07,0.2057000000000000
CALIFORNIA_CURRENT,3,CHL,1999,08,0.1797000000000000
CALIFORNIA_CURRENT,3,CHL,1999,09,0.1999000000000000
CALIFORNIA_CURRENT,3,CHL,1999,10,0.1988000000000000
CALIFORNIA_CURRENT,3,CHL,1999,11,0.2017000000000000
CALIFORNIA_CURRENT,3,CHL,1999,12,0.2353000000000000
CALIFORNIA_CURRENT,3,CHL,2000,01,0.2225000000000000
CALIFORNIA_CURRENT,3,CHL,2000,02,0.2083000000000000
CALIFORNIA_CURRENT,3,CHL,2000,03,0.2298000000000000
CALIFORNIA_CURRENT,3,CHL,2000,04,0.1959000000000000
CALIFORNIA_CURRENT,3,CHL,2000,05,0.2023000000000000
CALIFORNIA_CURRENT,3,CHL,2000,06,0.2165000000000000
CALIFORNIA_CURRENT,3,CHL,2000,07,0.1864000000000000
CALIFORNIA_CURRENT,3,CHL,2000,08,0.1675000000000000
CALIFORNIA_CURRENT,3,CHL,2000,09,0.1700000000000000
CALIFORNIA_CURRENT,3,CHL,2000,10,0.1957000000000000
CALIFORNIA_CURRENT,3,CHL,2000,11,0.2258000000000000
CALIFORNIA_CURRENT,3,CHL,2000,12,0.2214000000000000
CALIFORNIA_CURRENT,3,CHL,2001,01,0.2288000000000000
CALIFORNIA_CURRENT,3,CHL,2001,02,0.2458000000000000
CALIFORNIA_CURRENT,3,CHL,2001,03,0.2347000000000000
CALIFORNIA_CURRENT,3,CHL,2001,04,0.2393000000000000
CALIFORNIA_CURRENT,3,CHL,2001,05,0.2076000000000000
CALIFORNIA_CURRENT,3,CHL,2001,06,0.1729000000000000
CALIFORNIA_CURRENT,3,CHL,2001,07,0.1693000000000000
CALIFORNIA_CURRENT,3,CHL,2001,08,0.1727000000000000
CALIFORNIA_CURRENT,3,CHL,2001,09,0.1701000000000000
CALIFORNIA_CURRENT,3,CHL,2001,10,0.1930000000000000
CALIFORNIA_CURRENT,3,CHL,2001,11,0.1970000000000000
CALIFORNIA_CURRENT,3,CHL,2001,12,0.2348000000000000
CALIFORNIA_CURRENT,3,CHL,2002,01,0.2418000000000000
CALIFORNIA_CURRENT,3,CHL,2002,02,0.2726000000000000
CALIFORNIA_CURRENT,3,CHL,2002,03,0.2562000000000000
CALIFORNIA_CURRENT,3,CHL,2002,04,0.2552000000000000
CALIFORNIA_CURRENT,3,CHL,2002,05,0.2318000000000000
CALIFORNIA_CURRENT,3,CHL,2002,06,0.2270000000000000
CALIFORNIA_CURRENT,3,CHL,2002,07,0.1918000000000000
CALIFORNIA_CURRENT,3,CHL,2002,08,0.1948000000000000
CALIFORNIA_CURRENT,3,CHL,2002,09,0.1855000000000000
CALIFORNIA_CURRENT,3,CHL,2002,10,0.2172000000000000
CALIFORNIA_CURRENT,3,CHL,2002,11,0.2042000000000000
CALIFORNIA_CURRENT,3,CHL,2002,12,0.1968000000000000
CALIFORNIA_CURRENT,3,CHL,2003,01,0.2238000000000000
CALIFORNIA_CURRENT,3,CHL,2003,02,0.2279000000000000
CALIFORNIA_CURRENT,3,CHL,2003,03,0.2332000000000000
CALIFORNIA_CURRENT,3,CHL,2003,04,0.2258000000000000
CALIFORNIA_CURRENT,3,CHL,2003,05,0.2286000000000000
CALIFORNIA_CURRENT,3,CHL,2003,06,0.2319000000000000
CALIFORNIA_CURRENT,3,CHL,2003,07,0.1878000000000000
CALIFORNIA_CURRENT,3,CHL,2003,08,0.1919000000000000
CALIFORNIA_CURRENT,3,CHL,2003,09,0.1952000000000000
CALIFORNIA_CURRENT,3,CHL,2003,10,0.1827000000000000
CALIFORNIA_CURRENT,3,CHL,2003,11,0.1909000000000000
CALIFORNIA_CURRENT,3,CHL,2003,12,0.2126000000000000
CALIFORNIA_CURRENT,3,CHL,2004,01,0.2090000000000000
CALIFORNIA_CURRENT,3,CHL,2004,02,0.2198000000000000
CALIFORNIA_CURRENT,3,CHL,2004,03,0.2416000000000000
CALIFORNIA_CURRENT,3,CHL,2004,04,0.2233000000000000
CALIFORNIA_CURRENT,3,CHL,2004,05,0.1780000000000000
CALIFORNIA_CURRENT,3,CHL,2004,06,0.1910000000000000
CALIFORNIA_CURRENT,3,CHL,2004,07,0.1728000000000000
CALIFORNIA_CURRENT,3,CHL,2004,08,0.1667000000000000
CALIFORNIA_CURRENT,3,CHL,2004,09,0.1681000000000000
CALIFORNIA_CURRENT,3,CHL,2004,10,0.1753000000000000
CALIFORNIA_CURRENT,3,CHL,2004,11,0.2101000000000000
CALIFORNIA_CURRENT,3,CHL,2004,12,0.2388000000000000
CALIFORNIA_CURRENT,3,CHL,2005,01,0.2146000000000000
CALIFORNIA_CURRENT,3,CHL,2005,02,0.2172000000000000
CALIFORNIA_CURRENT,3,CHL,2005,03,0.1857000000000000
CALIFORNIA_CURRENT,3,CHL,2005,04,0.2132000000000000
CALIFORNIA_CURRENT,3,CHL,2005,05,0.1840000000000000
CALIFORNIA_CURRENT,3,CHL,2005,06,0.2022000000000000
CALIFORNIA_CURRENT,3,CHL,2005,07,0.2266000000000000
CALIFORNIA_CURRENT,3,CHL,2005,08,0.1852000000000000
CALIFORNIA_CURRENT,3,CHL,2005,09,0.1725000000000000
CALIFORNIA_CURRENT,3,CHL,2005,10,0.1827000000000000
CALIFORNIA_CURRENT,3,CHL,2005,11,0.1989000000000000
CALIFORNIA_CURRENT,3,CHL,2005,12,0.2039000000000000
CALIFORNIA_CURRENT,3,CHL,2006,01,0.2529000000000000
CALIFORNIA_CURRENT,3,CHL,2006,02,0.2424000000000000
CALIFORNIA_CURRENT,3,CHL,2006,03,0.2351000000000000
CALIFORNIA_CURRENT,3,CHL,2006,04,0.2346000000000000
CALIFORNIA_CURRENT,3,CHL,2006,05,0.2316000000000000
CALIFORNIA_CURRENT,3,CHL,2006,06,0.2142000000000000
CALIFORNIA_CURRENT,3,CHL,2006,07,0.1891000000000000
CALIFORNIA_CURRENT,3,CHL,2006,08,0.1920000000000000
CALIFORNIA_CURRENT,3,CHL,2006,09,0.1896000000000000
CALIFORNIA_CURRENT,3,CHL,2006,10,0.1979000000000000
CALIFORNIA_CURRENT,3,CHL,2006,11,0.2011000000000000
CALIFORNIA_CURRENT,3,CHL,2006,12,0.2549000000000000
CALIFORNIA_CURRENT,3,CHL,2007,01,0.3039000000000000
CALIFORNIA_CURRENT,3,CHL,2007,02,0.2713000000000000
CALIFORNIA_CURRENT,3,CHL,2007,03,0.2741000000000000
CALIFORNIA_CURRENT,3,CHL,2007,04,0.2551000000000000
CALIFORNIA_CURRENT,3,CHL,2007,05,0.2444000000000000
CALIFORNIA_CURRENT,3,CHL,2007,06,0.2280000000000000
CALIFORNIA_CURRENT,3,CHL,2007,07,0.1818000000000000
CALIFORNIA_CURRENT,3,CHL,2007,08,0.1727000000000000
CALIFORNIA_CURRENT,3,CHL,2007,09,0.1784000000000000
CALIFORNIA_CURRENT,3,CHL,2007,10,0.1996000000000000
CALIFORNIA_CURRENT,3,CHL,2007,11,0.2347000000000000
CALIFORNIA_CURRENT,3,CHL,2007,12,0.2519000000000000
CALIFORNIA_CURRENT,3,CHL,2008,01,0.2772000000000000
CALIFORNIA_CURRENT,3,CHL,2008,02,0.2967000000000000
CALIFORNIA_CURRENT,3,CHL,2008,03,0.2750000000000000
CALIFORNIA_CURRENT,3,CHL,2008,04,0.2726000000000000
CALIFORNIA_CURRENT,3,CHL,2008,05,0.3029000000000000
CALIFORNIA_CURRENT,3,CHL,2008,06,0.2765000000000000
CALIFORNIA_CURRENT,3,CHL,2008,07,0.2238000000000000
CALIFORNIA_CURRENT,3,CHL,2008,08,0.2002000000000000
CALIFORNIA_CURRENT,3,CHL,2008,09,0.2026000000000000
CALIFORNIA_CURRENT,3,CHL,2008,10,0.2152000000000000
CALIFORNIA_CURRENT,3,CHL,2008,11,0.2255000000000000
CALIFORNIA_CURRENT,3,CHL,2008,12,0.2457000000000000
CALIFORNIA_CURRENT,3,CHL,2009,01,0.2919000000000000
CALIFORNIA_CURRENT,3,CHL,2009,02,0.2610000000000000
CALIFORNIA_CURRENT,3,CHL,2009,03,0.2626000000000000
CALIFORNIA_CURRENT,3,CHL,2009,04,0.2602000000000000
CALIFORNIA_CURRENT,3,CHL,2009,05,0.2475000000000000
CALIFORNIA_CURRENT,3,CHL,2009,06,0.1955000000000000
CALIFORNIA_CURRENT,3,CHL,2009,07,0.1838000000000000
CALIFORNIA_CURRENT,3,CHL,2009,08,0.1693000000000000
CALIFORNIA_CURRENT,3,CHL,2009,09,0.1597000000000000
CALIFORNIA_CURRENT,3,CHL,2009,10,0.1990000000000000
CALIFORNIA_CURRENT,3,CHL,2009,11,0.2203000000000000
CALIFORNIA_CURRENT,3,CHL,2009,12,0.2514000000000000
CALIFORNIA_CURRENT,3,CHL,2010,01,0.2470000000000000
CALIFORNIA_CURRENT,3,CHL,2010,02,0.2481000000000000
CALIFORNIA_CURRENT,3,CHL,2010,03,0.2439000000000000
CALIFORNIA_CURRENT,3,CHL,2010,04,0.2293000000000000
CALIFORNIA_CURRENT,3,CHL,2010,05,0.2242000000000000
CALIFORNIA_CURRENT,3,CHL,2010,06,0.1990000000000000
CALIFORNIA_CURRENT,3,CHL,2010,07,0.1931000000000000
CALIFORNIA_CURRENT,3,CHL,2010,08,0.1971000000000000
CALIFORNIA_CURRENT,3,CHL,2010,09,0.1873000000000000
CALIFORNIA_CURRENT,3,CHL,2010,10,0.1929000000000000
CALIFORNIA_CURRENT,3,CHL,2010,11,0.2009000000000000
CALIFORNIA_CURRENT,3,CHL,2010,12,0.2100000000000000
CALIFORNIA_CURRENT,3,CHL,2011,01,0.2195000000000000
CALIFORNIA_CURRENT,3,CHL,2011,02,0.2099000000000000
CALIFORNIA_CURRENT,3,CHL,2011,03,0.2197000000000000
CALIFORNIA_CURRENT,3,CHL,2011,04,0.2695000000000000
CALIFORNIA_CURRENT,3,CHL,2011,05,0.2318000000000000
CALIFORNIA_CURRENT,3,CHL,2011,06,0.2153000000000000
CALIFORNIA_CURRENT,3,CHL,2011,07,0.2119000000000000
CALIFORNIA_CURRENT,3,CHL,2011,08,0.1968000000000000
CALIFORNIA_CURRENT,3,CHL,2011,09,0.1935000000000000
CALIFORNIA_CURRENT,3,CHL,2011,10,0.1969000000000000
CALIFORNIA_CURRENT,3,CHL,2011,11,0.2130000000000000
CALIFORNIA_CURRENT,3,CHL,2011,12,0.2589000000000000
CALIFORNIA_CURRENT,3,CHL,2012,01,0.2617000000000000
CALIFORNIA_CURRENT,3,CHL,2012,02,0.2562000000000000
CALIFORNIA_CURRENT,3,CHL,2012,03,0.2493000000000000
CALIFORNIA_CURRENT,3,CHL,2012,04,0.2202000000000000
CALIFORNIA_CURRENT,3,CHL,2012,05,0.2207000000000000
CALIFORNIA_CURRENT,3,CHL,2012,06,0.1975000000000000
CALIFORNIA_CURRENT,3,CHL,2012,07,0.2219000000000000
CALIFORNIA_CURRENT,3,CHL,2012,08,0.1826000000000000
CALIFORNIA_CURRENT,3,CHL,2012,09,0.1684000000000000
CALIFORNIA_CURRENT,3,CHL,2012,10,0.1709000000000000
CALIFORNIA_CURRENT,3,CHL,2012,11,0.1805000000000000
CALIFORNIA_CURRENT,3,CHL,2012,12,0.2103000000000000
CALIFORNIA_CURRENT,3,CHL,2013,01,0.2454000000000000
CALIFORNIA_CURRENT,3,CHL,2013,02,0.2611000000000000
CALIFORNIA_CURRENT,3,CHL,2013,03,0.2532000000000000
CALIFORNIA_CURRENT,3,CHL,2013,04,0.2371000000000000
CALIFORNIA_CURRENT,3,CHL,2013,05,0.2061000000000000
CALIFORNIA_CURRENT,3,CHL,2013,06,0.2044000000000000
CALIFORNIA_CURRENT,3,CHL,2013,07,0.1829000000000000
CALIFORNIA_CURRENT,3,CHL,2013,08,0.1796000000000000
CALIFORNIA_CURRENT,3,CHL,2013,09,0.1642000000000000
CALIFORNIA_CURRENT,3,CHL,2013,10,0.1916000000000000
CALIFORNIA_CURRENT,3,CHL,2013,11,0.2108000000000000
CALIFORNIA_CURRENT,3,CHL,2013,12,0.2343000000000000
