LME,CODE,PROD,YEAR,MONTH,MEAN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998,01,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998,02,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998,03,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998,04,0.2869000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998,05,0.3986000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998,06,0.4557000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998,07,0.8583000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998,08,0.7476000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998,09,0.4730000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998,10,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998,11,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998,12,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1999,01,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1999,02,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1999,03,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1999,04,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1999,05,0.3662000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1999,06,0.4545000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1999,07,0.5977000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1999,08,0.9417000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1999,09,0.4579000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1999,10,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1999,11,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1999,12,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,2000,01,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,2000,02,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,2000,03,NaN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,2000,04,0.3767000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,2000,05,0.2189000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,2000,06,0.3518000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,2000,07,0.5192000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,2000,08,0.5490000000000000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,2000,09,0.4592000000000000
