LME,CODE,PROD,YEAR,MEAN
CANARY_CURRENT,27,CHL,1998,0.4432000000000000
CANARY_CURRENT,27,CHL,1999,0.4531000000000000
CANARY_CURRENT,27,CHL,2000,0.3878000000000000
CANARY_CURRENT,27,CHL,2001,0.3683000000000000
CANARY_CURRENT,27,CHL,2002,0.3686000000000000
CANARY_CURRENT,27,CHL,2003,0.3990000000000000
CANARY_CURRENT,27,CHL,2004,0.3712000000000000
CANARY_CURRENT,27,CHL,2005,0.3815000000000000
CANARY_CURRENT,27,CHL,2006,0.3673000000000000
CANARY_CURRENT,27,CHL,2007,0.4161000000000000
CANARY_CURRENT,27,CHL,2008,0.3620000000000000
CANARY_CURRENT,27,CHL,2009,0.3800000000000000
CANARY_CURRENT,27,CHL,2010,0.2665000000000000
CANARY_CURRENT,27,CHL,2011,0.2998000000000000
CANARY_CURRENT,27,CHL,2012,0.3816000000000000
CANARY_CURRENT,27,CHL,2013,0.3343000000000000
