LME,CODE,PROD,YEAR,MONTH,MEAN
EAST_CHINA_SEA,47,CHL,1998,01,0.8185000000000000
EAST_CHINA_SEA,47,CHL,1998,02,0.8374000000000000
EAST_CHINA_SEA,47,CHL,1998,03,0.5589000000000000
EAST_CHINA_SEA,47,CHL,1998,04,0.7217000000000000
EAST_CHINA_SEA,47,CHL,1998,05,0.4952000000000000
EAST_CHINA_SEA,47,CHL,1998,06,0.3503000000000000
EAST_CHINA_SEA,47,CHL,1998,07,0.3529000000000000
EAST_CHINA_SEA,47,CHL,1998,08,0.3945000000000000
EAST_CHINA_SEA,47,CHL,1998,09,0.4212000000000000
EAST_CHINA_SEA,47,CHL,1998,10,0.4151000000000000
EAST_CHINA_SEA,47,CHL,1998,11,0.5946000000000000
EAST_CHINA_SEA,47,CHL,1998,12,0.6022000000000000
EAST_CHINA_SEA,47,CHL,1999,01,0.8128000000000000
EAST_CHINA_SEA,47,CHL,1999,02,0.6775000000000000
EAST_CHINA_SEA,47,CHL,1999,03,0.6326000000000001
EAST_CHINA_SEA,47,CHL,1999,04,0.7328000000000000
EAST_CHINA_SEA,47,CHL,1999,05,0.5128000000000000
EAST_CHINA_SEA,47,CHL,1999,06,0.4174000000000000
EAST_CHINA_SEA,47,CHL,1999,07,0.4339000000000000
EAST_CHINA_SEA,47,CHL,1999,08,0.4453000000000000
EAST_CHINA_SEA,47,CHL,1999,09,0.4883000000000000
EAST_CHINA_SEA,47,CHL,1999,10,0.5211000000000000
EAST_CHINA_SEA,47,CHL,1999,11,0.5802000000000001
EAST_CHINA_SEA,47,CHL,1999,12,0.6462000000000000
EAST_CHINA_SEA,47,CHL,2000,01,0.5347000000000000
EAST_CHINA_SEA,47,CHL,2000,02,0.6973000000000000
EAST_CHINA_SEA,47,CHL,2000,03,0.8709000000000000
EAST_CHINA_SEA,47,CHL,2000,04,0.8245000000000000
EAST_CHINA_SEA,47,CHL,2000,05,0.5362000000000000
EAST_CHINA_SEA,47,CHL,2000,06,0.3692000000000000
EAST_CHINA_SEA,47,CHL,2000,07,0.3165000000000000
EAST_CHINA_SEA,47,CHL,2000,08,0.3539000000000000
EAST_CHINA_SEA,47,CHL,2000,09,0.4696000000000000
EAST_CHINA_SEA,47,CHL,2000,10,0.4670000000000000
EAST_CHINA_SEA,47,CHL,2000,11,0.4920000000000000
EAST_CHINA_SEA,47,CHL,2000,12,0.5853000000000000
EAST_CHINA_SEA,47,CHL,2001,01,0.5514000000000000
EAST_CHINA_SEA,47,CHL,2001,02,0.5486000000000000
EAST_CHINA_SEA,47,CHL,2001,03,0.8201000000000001
EAST_CHINA_SEA,47,CHL,2001,04,0.8078000000000000
EAST_CHINA_SEA,47,CHL,2001,05,0.5074000000000000
EAST_CHINA_SEA,47,CHL,2001,06,0.3934000000000000
EAST_CHINA_SEA,47,CHL,2001,07,0.3079000000000000
EAST_CHINA_SEA,47,CHL,2001,08,0.2890000000000000
EAST_CHINA_SEA,47,CHL,2001,09,0.3221000000000000
EAST_CHINA_SEA,47,CHL,2001,10,0.4156000000000000
EAST_CHINA_SEA,47,CHL,2001,11,0.5360000000000000
EAST_CHINA_SEA,47,CHL,2001,12,0.5616000000000000
EAST_CHINA_SEA,47,CHL,2002,01,0.6254999999999999
EAST_CHINA_SEA,47,CHL,2002,02,0.6228000000000000
EAST_CHINA_SEA,47,CHL,2002,03,0.6886000000000000
EAST_CHINA_SEA,47,CHL,2002,04,0.6858000000000000
EAST_CHINA_SEA,47,CHL,2002,05,0.3539000000000000
EAST_CHINA_SEA,47,CHL,2002,06,0.3513000000000000
EAST_CHINA_SEA,47,CHL,2002,07,0.3928000000000000
EAST_CHINA_SEA,47,CHL,2002,08,0.3398000000000000
EAST_CHINA_SEA,47,CHL,2002,09,0.3871000000000000
