LME,CODE,PROD,YEAR,MEAN
GULF_OF_ALASKA,2,CHL,1998,0.5778000000000000
GULF_OF_ALASKA,2,CHL,1999,0.6340000000000000
GULF_OF_ALASKA,2,CHL,2000,0.5815000000000000
GULF_OF_ALASKA,2,CHL,2001,0.5606000000000000
GULF_OF_ALASKA,2,CHL,2002,0.5583000000000000
GULF_OF_ALASKA,2,CHL,2003,0.4888000000000000
GULF_OF_ALASKA,2,CHL,2004,0.4559000000000000
GULF_OF_ALASKA,2,CHL,2005,0.4616000000000000
GULF_OF_ALASKA,2,CHL,2006,0.5184000000000000
GULF_OF_ALASKA,2,CHL,2007,0.5303000000000000
GULF_OF_ALASKA,2,CHL,2008,0.5512000000000000
GULF_OF_ALASKA,2,CHL,2009,0.4994000000000000
GULF_OF_ALASKA,2,CHL,2010,0.4846000000000000
GULF_OF_ALASKA,2,CHL,2011,0.4991000000000000
GULF_OF_ALASKA,2,CHL,2012,0.5374000000000000
GULF_OF_ALASKA,2,CHL,2013,0.6091000000000000
