LME,CODE,PROD,YEAR,MONTH,MEAN
NORTH_AUSTRALIAN_SHELF,39,CHL,1998,01,0.4964000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1998,02,0.3508000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1998,03,0.3517000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1998,04,0.3836000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1998,05,0.5718000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1998,06,0.6516000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1998,07,0.5476000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1998,08,0.5002000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1998,09,0.3721000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1998,10,0.3603000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1998,11,0.3204000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1998,12,0.3343000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1999,01,0.3866000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1999,02,0.5097000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1999,03,0.3646000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1999,04,0.4047000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1999,05,0.5381000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1999,06,0.5564000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1999,07,0.5336000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1999,08,0.3996000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1999,09,0.3377000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1999,10,0.3586000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1999,11,0.3269000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,1999,12,0.3034000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,2000,01,0.3010000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,2000,02,0.3594000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,2000,03,0.3353000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,2000,04,0.3485000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,2000,05,0.5677000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,2000,06,0.5808000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,2000,07,0.4886000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,2000,08,0.3594000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,2000,09,0.3187000000000000
NORTH_AUSTRALIAN_SHELF,39,CHL,2000,10,0.3223000000000000
