LME,CODE,PROD,YEAR,MONTH,MEAN
NORTH_BRAZIL_SHELF,17,CHL,1998,01,0.2478000000000000
NORTH_BRAZIL_SHELF,17,CHL,1998,02,0.2451000000000000
NORTH_BRAZIL_SHELF,17,CHL,1998,03,0.2555000000000000
NORTH_BRAZIL_SHELF,17,CHL,1998,04,0.3084000000000000
NORTH_BRAZIL_SHELF,17,CHL,1998,05,0.3576000000000000
NORTH_BRAZIL_SHELF,17,CHL,1998,06,0.4434000000000000
NORTH_BRAZIL_SHELF,17,CHL,1998,07,0.3966000000000000
NORTH_BRAZIL_SHELF,17,CHL,1998,08,0.4101000000000000
NORTH_BRAZIL_SHELF,17,CHL,1998,09,0.3126000000000000
NORTH_BRAZIL_SHELF,17,CHL,1998,10,0.2495000000000000
NORTH_BRAZIL_SHELF,17,CHL,1998,11,0.1901000000000000
NORTH_BRAZIL_SHELF,17,CHL,1998,12,0.2253000000000000
NORTH_BRAZIL_SHELF,17,CHL,1999,01,0.3116000000000000
NORTH_BRAZIL_SHELF,17,CHL,1999,02,0.3085000000000000
NORTH_BRAZIL_SHELF,17,CHL,1999,03,0.2734000000000000
NORTH_BRAZIL_SHELF,17,CHL,1999,04,0.3388000000000000
NORTH_BRAZIL_SHELF,17,CHL,1999,05,0.6603000000000000
NORTH_BRAZIL_SHELF,17,CHL,1999,06,0.6339000000000000
NORTH_BRAZIL_SHELF,17,CHL,1999,07,0.6071000000000000
NORTH_BRAZIL_SHELF,17,CHL,1999,08,0.4540000000000000
NORTH_BRAZIL_SHELF,17,CHL,1999,09,0.4046000000000000
NORTH_BRAZIL_SHELF,17,CHL,1999,10,0.3066000000000000
NORTH_BRAZIL_SHELF,17,CHL,1999,11,0.2603000000000000
NORTH_BRAZIL_SHELF,17,CHL,1999,12,0.2436000000000000
NORTH_BRAZIL_SHELF,17,CHL,2000,01,0.2434000000000000
NORTH_BRAZIL_SHELF,17,CHL,2000,02,0.3304000000000000
NORTH_BRAZIL_SHELF,17,CHL,2000,03,0.3233000000000000
NORTH_BRAZIL_SHELF,17,CHL,2000,04,0.5201000000000000
NORTH_BRAZIL_SHELF,17,CHL,2000,05,0.7055000000000000
NORTH_BRAZIL_SHELF,17,CHL,2000,06,0.5213000000000000
NORTH_BRAZIL_SHELF,17,CHL,2000,07,0.4682000000000000
NORTH_BRAZIL_SHELF,17,CHL,2000,08,0.4457000000000000
NORTH_BRAZIL_SHELF,17,CHL,2000,09,0.3010000000000000
NORTH_BRAZIL_SHELF,17,CHL,2000,10,0.2720000000000000
NORTH_BRAZIL_SHELF,17,CHL,2000,11,0.2397000000000000
NORTH_BRAZIL_SHELF,17,CHL,2000,12,0.2850000000000000
NORTH_BRAZIL_SHELF,17,CHL,2001,01,0.2883000000000000
NORTH_BRAZIL_SHELF,17,CHL,2001,02,0.3059000000000000
NORTH_BRAZIL_SHELF,17,CHL,2001,03,0.3035000000000000
NORTH_BRAZIL_SHELF,17,CHL,2001,04,0.4862000000000000
NORTH_BRAZIL_SHELF,17,CHL,2001,05,0.5311000000000000
NORTH_BRAZIL_SHELF,17,CHL,2001,06,0.6234000000000000
NORTH_BRAZIL_SHELF,17,CHL,2001,07,0.7455000000000001
NORTH_BRAZIL_SHELF,17,CHL,2001,08,0.5344000000000000
NORTH_BRAZIL_SHELF,17,CHL,2001,09,0.3342000000000000
NORTH_BRAZIL_SHELF,17,CHL,2001,10,0.2300000000000000
NORTH_BRAZIL_SHELF,17,CHL,2001,11,0.2096000000000000
NORTH_BRAZIL_SHELF,17,CHL,2001,12,0.2362000000000000
NORTH_BRAZIL_SHELF,17,CHL,2002,01,0.2458000000000000
NORTH_BRAZIL_SHELF,17,CHL,2002,02,0.2970000000000000
NORTH_BRAZIL_SHELF,17,CHL,2002,03,0.2799000000000000
NORTH_BRAZIL_SHELF,17,CHL,2002,04,0.3735000000000000
NORTH_BRAZIL_SHELF,17,CHL,2002,05,0.5322000000000000
NORTH_BRAZIL_SHELF,17,CHL,2002,06,0.5129000000000000
NORTH_BRAZIL_SHELF,17,CHL,2002,07,0.4461000000000000
NORTH_BRAZIL_SHELF,17,CHL,2002,08,0.4602000000000000
NORTH_BRAZIL_SHELF,17,CHL,2002,09,0.3352000000000000
NORTH_BRAZIL_SHELF,17,CHL,2002,10,0.3067000000000000
NORTH_BRAZIL_SHELF,17,CHL,2002,11,0.2563000000000000
NORTH_BRAZIL_SHELF,17,CHL,2002,12,0.2541000000000000
NORTH_BRAZIL_SHELF,17,CHL,2003,01,0.2652000000000000
NORTH_BRAZIL_SHELF,17,CHL,2003,02,0.2799000000000000
NORTH_BRAZIL_SHELF,17,CHL,2003,03,0.3247000000000000
