LME,CODE,PROD,YEAR,MEAN
NORWEGIAN_SEA,21,CHL,1998,0.6151000000000000
NORWEGIAN_SEA,21,CHL,1999,0.6384000000000000
NORWEGIAN_SEA,21,CHL,2000,0.5516000000000000
NORWEGIAN_SEA,21,CHL,2001,0.5125000000000000
NORWEGIAN_SEA,21,CHL,2002,0.4883000000000000
NORWEGIAN_SEA,21,CHL,2003,0.3679000000000000
NORWEGIAN_SEA,21,CHL,2004,0.4035000000000000
NORWEGIAN_SEA,21,CHL,2005,0.3690000000000000
NORWEGIAN_SEA,21,CHL,2006,0.4004000000000000
NORWEGIAN_SEA,21,CHL,2007,0.3628000000000000
NORWEGIAN_SEA,21,CHL,2008,0.4012000000000000
NORWEGIAN_SEA,21,CHL,2009,0.4166000000000000
NORWEGIAN_SEA,21,CHL,2010,0.3848000000000000
NORWEGIAN_SEA,21,CHL,2011,0.3967000000000000
NORWEGIAN_SEA,21,CHL,2012,0.4366000000000000
NORWEGIAN_SEA,21,CHL,2013,0.4468000000000000
