LME,CODE,PROD,YEAR,MONTH,MEAN
OYASHIO_CURRENT,51,CHL,1998,01,0.4144000000000000
OYASHIO_CURRENT,51,CHL,1998,02,0.3685000000000000
OYASHIO_CURRENT,51,CHL,1998,03,0.3846000000000000
OYASHIO_CURRENT,51,CHL,1998,04,0.8774000000000000
OYASHIO_CURRENT,51,CHL,1998,05,1.178000000000000
OYASHIO_CURRENT,51,CHL,1998,06,0.5221000000000000
OYASHIO_CURRENT,51,CHL,1998,07,0.5379000000000000
OYASHIO_CURRENT,51,CHL,1998,08,0.7119000000000000
OYASHIO_CURRENT,51,CHL,1998,09,0.8282000000000001
OYASHIO_CURRENT,51,CHL,1998,10,0.9069000000000000
OYASHIO_CURRENT,51,CHL,1998,11,0.6878000000000000
OYASHIO_CURRENT,51,CHL,1998,12,0.4867000000000000
OYASHIO_CURRENT,51,CHL,1999,01,0.4021000000000000
OYASHIO_CURRENT,51,CHL,1999,02,0.3981000000000000
OYASHIO_CURRENT,51,CHL,1999,03,0.4001000000000000
OYASHIO_CURRENT,51,CHL,1999,04,0.4212000000000000
OYASHIO_CURRENT,51,CHL,1999,05,1.507000000000000
OYASHIO_CURRENT,51,CHL,1999,06,0.9419000000000000
OYASHIO_CURRENT,51,CHL,1999,07,0.4570000000000000
OYASHIO_CURRENT,51,CHL,1999,08,0.4563000000000000
OYASHIO_CURRENT,51,CHL,1999,09,0.5872000000000001
OYASHIO_CURRENT,51,CHL,1999,10,0.7690000000000000
OYASHIO_CURRENT,51,CHL,1999,11,0.6113000000000000
OYASHIO_CURRENT,51,CHL,1999,12,0.4614000000000000
OYASHIO_CURRENT,51,CHL,2000,01,0.4126000000000000
OYASHIO_CURRENT,51,CHL,2000,02,0.3489000000000000
OYASHIO_CURRENT,51,CHL,2000,03,0.3509000000000000
OYASHIO_CURRENT,51,CHL,2000,04,0.5087000000000000
OYASHIO_CURRENT,51,CHL,2000,05,1.057000000000000
OYASHIO_CURRENT,51,CHL,2000,06,0.6586000000000000
OYASHIO_CURRENT,51,CHL,2000,07,0.8229000000000000
OYASHIO_CURRENT,51,CHL,2000,08,0.6066000000000000
OYASHIO_CURRENT,51,CHL,2000,09,0.8004000000000000
OYASHIO_CURRENT,51,CHL,2000,10,0.8502000000000000
OYASHIO_CURRENT,51,CHL,2000,11,0.6102000000000000
OYASHIO_CURRENT,51,CHL,2000,12,0.3631000000000000
OYASHIO_CURRENT,51,CHL,2001,01,0.3319000000000000
OYASHIO_CURRENT,51,CHL,2001,02,0.3367000000000000
OYASHIO_CURRENT,51,CHL,2001,03,0.3438000000000000
OYASHIO_CURRENT,51,CHL,2001,04,0.4894000000000000
OYASHIO_CURRENT,51,CHL,2001,05,1.174000000000000
OYASHIO_CURRENT,51,CHL,2001,06,0.9317000000000000
OYASHIO_CURRENT,51,CHL,2001,07,0.4919000000000000
OYASHIO_CURRENT,51,CHL,2001,08,0.4478000000000000
OYASHIO_CURRENT,51,CHL,2001,09,0.5906000000000000
OYASHIO_CURRENT,51,CHL,2001,10,0.7108000000000000
OYASHIO_CURRENT,51,CHL,2001,11,0.4816000000000000
OYASHIO_CURRENT,51,CHL,2001,12,0.3478000000000000
OYASHIO_CURRENT,51,CHL,2002,01,0.2994000000000000
OYASHIO_CURRENT,51,CHL,2002,02,0.3216000000000000
OYASHIO_CURRENT,51,CHL,2002,03,0.3654000000000000
OYASHIO_CURRENT,51,CHL,2002,04,0.5851000000000000
OYASHIO_CURRENT,51,CHL,2002,05,0.9733000000000001
OYASHIO_CURRENT,51,CHL,2002,06,0.6994000000000000
OYASHIO_CURRENT,51,CHL,2002,07,0.5952000000000000
OYASHIO_CURRENT,51,CHL,2002,08,0.6521000000000000
OYASHIO_CURRENT,51,CHL,2002,09,0.9896000000000000
OYASHIO_CURRENT,51,CHL,2002,10,0.8643000000000000
OYASHIO_CURRENT,51,CHL,2002,11,0.3673000000000000
OYASHIO_CURRENT,51,CHL,2002,12,0.2417000000000000
OYASHIO_CURRENT,51,CHL,2003,01,0.2104000000000000
OYASHIO_CURRENT,51,CHL,2003,02,0.2196000000000000
OYASHIO_CURRENT,51,CHL,2003,03,0.2778000000000000
OYASHIO_CURRENT,51,CHL,2003,04,0.4204000000000000
OYASHIO_CURRENT,51,CHL,2003,05,0.9931000000000000
OYASHIO_CURRENT,51,CHL,2003,06,0.8265000000000000
OYASHIO_CURRENT,51,CHL,2003,07,0.4053000000000000
OYASHIO_CURRENT,51,CHL,2003,08,0.4955000000000000
OYASHIO_CURRENT,51,CHL,2003,09,0.7021000000000000
OYASHIO_CURRENT,51,CHL,2003,10,0.7420000000000000
OYASHIO_CURRENT,51,CHL,2003,11,0.4385000000000000
OYASHIO_CURRENT,51,CHL,2003,12,0.3352000000000000
OYASHIO_CURRENT,51,CHL,2004,01,0.2091000000000000
OYASHIO_CURRENT,51,CHL,2004,02,0.2087000000000000
OYASHIO_CURRENT,51,CHL,2004,03,0.2860000000000000
OYASHIO_CURRENT,51,CHL,2004,04,0.3597000000000000
OYASHIO_CURRENT,51,CHL,2004,05,0.6651000000000000
OYASHIO_CURRENT,51,CHL,2004,06,1.193000000000000
OYASHIO_CURRENT,51,CHL,2004,07,0.6338000000000000
OYASHIO_CURRENT,51,CHL,2004,08,0.5771000000000000
OYASHIO_CURRENT,51,CHL,2004,09,0.6973000000000000
OYASHIO_CURRENT,51,CHL,2004,10,0.6343000000000000
OYASHIO_CURRENT,51,CHL,2004,11,0.3339000000000000
OYASHIO_CURRENT,51,CHL,2004,12,0.2436000000000000
OYASHIO_CURRENT,51,CHL,2005,01,0.2166000000000000
OYASHIO_CURRENT,51,CHL,2005,02,0.2260000000000000
OYASHIO_CURRENT,51,CHL,2005,03,0.2946000000000000
OYASHIO_CURRENT,51,CHL,2005,04,0.4149000000000000
OYASHIO_CURRENT,51,CHL,2005,05,0.5331000000000000
OYASHIO_CURRENT,51,CHL,2005,06,1.295000000000000
OYASHIO_CURRENT,51,CHL,2005,07,0.7374000000000001
OYASHIO_CURRENT,51,CHL,2005,08,0.4436000000000000
OYASHIO_CURRENT,51,CHL,2005,09,0.6599000000000000
OYASHIO_CURRENT,51,CHL,2005,10,0.6143000000000000
OYASHIO_CURRENT,51,CHL,2005,11,0.3410000000000000
OYASHIO_CURRENT,51,CHL,2005,12,0.2626000000000000
OYASHIO_CURRENT,51,CHL,2006,01,0.2503000000000000
OYASHIO_CURRENT,51,CHL,2006,02,0.2588000000000000
OYASHIO_CURRENT,51,CHL,2006,03,0.3111000000000000
OYASHIO_CURRENT,51,CHL,2006,04,0.4673000000000000
OYASHIO_CURRENT,51,CHL,2006,05,0.6604000000000000
OYASHIO_CURRENT,51,CHL,2006,06,1.053000000000000
OYASHIO_CURRENT,51,CHL,2006,07,0.5515000000000000
OYASHIO_CURRENT,51,CHL,2006,08,0.5449000000000001
OYASHIO_CURRENT,51,CHL,2006,09,0.6671000000000000
OYASHIO_CURRENT,51,CHL,2006,10,0.6262000000000000
OYASHIO_CURRENT,51,CHL,2006,11,0.4264000000000000
OYASHIO_CURRENT,51,CHL,2006,12,0.2783000000000000
OYASHIO_CURRENT,51,CHL,2007,01,0.2638000000000000
OYASHIO_CURRENT,51,CHL,2007,02,0.2298000000000000
OYASHIO_CURRENT,51,CHL,2007,03,0.3025000000000000
OYASHIO_CURRENT,51,CHL,2007,04,0.3782000000000000
OYASHIO_CURRENT,51,CHL,2007,05,0.6192000000000000
OYASHIO_CURRENT,51,CHL,2007,06,1.051000000000000
OYASHIO_CURRENT,51,CHL,2007,07,0.5922000000000000
OYASHIO_CURRENT,51,CHL,2007,08,0.4588000000000000
OYASHIO_CURRENT,51,CHL,2007,09,0.6484000000000000
OYASHIO_CURRENT,51,CHL,2007,10,0.6736000000000000
OYASHIO_CURRENT,51,CHL,2007,11,0.4080000000000000
OYASHIO_CURRENT,51,CHL,2007,12,0.2675000000000000
OYASHIO_CURRENT,51,CHL,2008,01,0.2297000000000000
OYASHIO_CURRENT,51,CHL,2008,02,0.2254000000000000
OYASHIO_CURRENT,51,CHL,2008,03,0.3339000000000000
OYASHIO_CURRENT,51,CHL,2008,04,0.4496000000000000
OYASHIO_CURRENT,51,CHL,2008,05,0.9163000000000000
OYASHIO_CURRENT,51,CHL,2008,06,0.7546000000000001
OYASHIO_CURRENT,51,CHL,2008,07,0.5169000000000000
OYASHIO_CURRENT,51,CHL,2008,08,0.5404000000000000
OYASHIO_CURRENT,51,CHL,2008,09,0.6752000000000000
OYASHIO_CURRENT,51,CHL,2008,10,0.9437000000000000
OYASHIO_CURRENT,51,CHL,2008,11,0.5592000000000000
OYASHIO_CURRENT,51,CHL,2008,12,0.4073000000000000
