LME,CODE,PROD,YEAR,MONTH,MEAN
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998,01,0.1968000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998,02,0.1891000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998,03,0.1897000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998,04,0.1964000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998,05,0.1929000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998,06,0.1485000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998,07,0.1487000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998,08,0.1615000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998,09,0.1902000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998,10,0.2103000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998,11,0.2446000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998,12,0.2784000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1999,01,0.2781000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1999,02,0.3237000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1999,03,0.3368000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1999,04,0.3490000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1999,05,0.3015000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1999,06,0.2625000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1999,07,0.2608000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1999,08,0.2158000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1999,09,0.2549000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1999,10,0.3413000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1999,11,0.3420000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1999,12,0.3825000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2000,01,0.4090000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2000,02,0.4096000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2000,03,0.4525000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2000,04,0.4306000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2000,05,0.3389000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2000,06,0.3382000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2000,07,0.3147000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2000,08,0.2660000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2000,09,0.2758000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2000,10,0.2948000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2000,11,0.2933000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2000,12,0.3117000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2001,01,0.3437000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2001,02,0.4350000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2001,03,0.4178000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2001,04,0.4052000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2001,05,0.3296000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2001,06,0.3108000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2001,07,0.2375000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2001,08,0.2279000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2001,09,0.2565000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2001,10,0.3107000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2001,11,0.3175000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2001,12,0.3419000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2002,01,0.3241000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2002,02,0.3470000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2002,03,0.3655000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2002,04,0.3506000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2002,05,0.2948000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2002,06,0.2541000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2002,07,0.2356000000000000
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,2002,08,0.2337000000000000
