LME,CODE,PROD,YEAR,MONTH,MEAN
RED_SEA,33,CHL,1998,01,0.3271000000000000
RED_SEA,33,CHL,1998,02,0.3101000000000000
RED_SEA,33,CHL,1998,03,0.2709000000000000
RED_SEA,33,CHL,1998,04,0.2097000000000000
RED_SEA,33,CHL,1998,05,0.1730000000000000
RED_SEA,33,CHL,1998,06,0.1788000000000000
RED_SEA,33,CHL,1998,07,0.1533000000000000
RED_SEA,33,CHL,1998,08,0.2222000000000000
RED_SEA,33,CHL,1998,09,0.2474000000000000
RED_SEA,33,CHL,1998,10,0.2058000000000000
RED_SEA,33,CHL,1998,11,0.2555000000000000
RED_SEA,33,CHL,1998,12,0.3501000000000000
RED_SEA,33,CHL,1999,01,0.4023000000000000
RED_SEA,33,CHL,1999,02,0.3491000000000000
RED_SEA,33,CHL,1999,03,0.2640000000000000
RED_SEA,33,CHL,1999,04,0.2053000000000000
RED_SEA,33,CHL,1999,05,0.1796000000000000
RED_SEA,33,CHL,1999,06,0.1511000000000000
RED_SEA,33,CHL,1999,07,0.1435000000000000
RED_SEA,33,CHL,1999,08,0.1489000000000000
RED_SEA,33,CHL,1999,09,0.1725000000000000
RED_SEA,33,CHL,1999,10,0.1966000000000000
RED_SEA,33,CHL,1999,11,0.2522000000000000
RED_SEA,33,CHL,1999,12,0.3303000000000000
RED_SEA,33,CHL,2000,01,0.3711000000000000
RED_SEA,33,CHL,2000,02,0.3441000000000000
RED_SEA,33,CHL,2000,03,0.2966000000000000
RED_SEA,33,CHL,2000,04,0.2175000000000000
RED_SEA,33,CHL,2000,05,0.1825000000000000
RED_SEA,33,CHL,2000,06,0.1295000000000000
RED_SEA,33,CHL,2000,07,0.08324000000000000
RED_SEA,33,CHL,2000,08,0.1152000000000000
RED_SEA,33,CHL,2000,09,0.1849000000000000
RED_SEA,33,CHL,2000,10,0.1957000000000000
RED_SEA,33,CHL,2000,11,0.2520000000000000
RED_SEA,33,CHL,2000,12,0.3125000000000000
RED_SEA,33,CHL,2001,01,0.3521000000000000
RED_SEA,33,CHL,2001,02,0.3307000000000000
RED_SEA,33,CHL,2001,03,0.2698000000000000
RED_SEA,33,CHL,2001,04,0.2059000000000000
RED_SEA,33,CHL,2001,05,0.1683000000000000
RED_SEA,33,CHL,2001,06,0.1991000000000000
RED_SEA,33,CHL,2001,07,0.1392000000000000
RED_SEA,33,CHL,2001,08,0.1321000000000000
RED_SEA,33,CHL,2001,09,0.1703000000000000
RED_SEA,33,CHL,2001,10,0.2017000000000000
RED_SEA,33,CHL,2001,11,0.2659000000000000
RED_SEA,33,CHL,2001,12,0.3332000000000000
RED_SEA,33,CHL,2002,01,0.3589000000000000
RED_SEA,33,CHL,2002,02,0.3581000000000000
RED_SEA,33,CHL,2002,03,0.2917000000000000
RED_SEA,33,CHL,2002,04,0.2140000000000000
RED_SEA,33,CHL,2002,05,0.1718000000000000
RED_SEA,33,CHL,2002,06,0.1919000000000000
RED_SEA,33,CHL,2002,07,0.1096000000000000
RED_SEA,33,CHL,2002,08,0.1441000000000000
RED_SEA,33,CHL,2002,09,0.1925000000000000
RED_SEA,33,CHL,2002,10,0.3160000000000000
RED_SEA,33,CHL,2002,11,0.4044000000000000
RED_SEA,33,CHL,2002,12,0.3586000000000000
RED_SEA,33,CHL,2003,01,0.3563000000000000
RED_SEA,33,CHL,2003,02,0.3448000000000000
RED_SEA,33,CHL,2003,03,0.3065000000000000
RED_SEA,33,CHL,2003,04,0.2177000000000000
RED_SEA,33,CHL,2003,05,0.1739000000000000
RED_SEA,33,CHL,2003,06,0.1549000000000000
RED_SEA,33,CHL,2003,07,0.1307000000000000
RED_SEA,33,CHL,2003,08,0.1153000000000000
RED_SEA,33,CHL,2003,09,0.1490000000000000
RED_SEA,33,CHL,2003,10,0.2175000000000000
RED_SEA,33,CHL,2003,11,0.3176000000000000
RED_SEA,33,CHL,2003,12,0.3935000000000000
RED_SEA,33,CHL,2004,01,0.4527000000000000
RED_SEA,33,CHL,2004,02,0.4470000000000000
RED_SEA,33,CHL,2004,03,0.3493000000000000
RED_SEA,33,CHL,2004,04,0.2176000000000000
RED_SEA,33,CHL,2004,05,0.1936000000000000
RED_SEA,33,CHL,2004,06,0.2166000000000000
RED_SEA,33,CHL,2004,07,0.1318000000000000
RED_SEA,33,CHL,2004,08,0.1083000000000000
RED_SEA,33,CHL,2004,09,0.1601000000000000
RED_SEA,33,CHL,2004,10,0.2311000000000000
RED_SEA,33,CHL,2004,11,0.2962000000000000
RED_SEA,33,CHL,2004,12,0.3988000000000000
RED_SEA,33,CHL,2005,01,0.3949000000000000
RED_SEA,33,CHL,2005,02,0.3741000000000000
RED_SEA,33,CHL,2005,03,0.2440000000000000
RED_SEA,33,CHL,2005,04,0.2384000000000000
RED_SEA,33,CHL,2005,05,0.2023000000000000
RED_SEA,33,CHL,2005,06,0.1153000000000000
RED_SEA,33,CHL,2005,07,0.1285000000000000
RED_SEA,33,CHL,2005,08,0.1506000000000000
RED_SEA,33,CHL,2005,09,0.1221000000000000
RED_SEA,33,CHL,2005,10,0.2151000000000000
RED_SEA,33,CHL,2005,11,0.2757000000000000
RED_SEA,33,CHL,2005,12,0.3545000000000000
RED_SEA,33,CHL,2006,01,0.4707000000000000
RED_SEA,33,CHL,2006,02,0.4225000000000000
RED_SEA,33,CHL,2006,03,0.3243000000000000
RED_SEA,33,CHL,2006,04,0.2183000000000000
RED_SEA,33,CHL,2006,05,0.1889000000000000
RED_SEA,33,CHL,2006,06,0.1532000000000000
RED_SEA,33,CHL,2006,07,0.1491000000000000
RED_SEA,33,CHL,2006,08,0.1252000000000000
RED_SEA,33,CHL,2006,09,0.1435000000000000
RED_SEA,33,CHL,2006,10,0.2145000000000000
RED_SEA,33,CHL,2006,11,0.3250000000000000
RED_SEA,33,CHL,2006,12,0.3531000000000000
RED_SEA,33,CHL,2007,01,0.4845000000000000
RED_SEA,33,CHL,2007,02,0.4063000000000000
RED_SEA,33,CHL,2007,03,0.3000000000000000
RED_SEA,33,CHL,2007,04,0.2204000000000000
RED_SEA,33,CHL,2007,05,0.1827000000000000
RED_SEA,33,CHL,2007,06,0.1490000000000000
RED_SEA,33,CHL,2007,07,0.1513000000000000
RED_SEA,33,CHL,2007,08,0.1364000000000000
RED_SEA,33,CHL,2007,09,0.1546000000000000
RED_SEA,33,CHL,2007,10,0.2138000000000000
RED_SEA,33,CHL,2007,11,0.2664000000000000
RED_SEA,33,CHL,2007,12,0.3938000000000000
RED_SEA,33,CHL,2008,01,0.4987000000000000
RED_SEA,33,CHL,2008,02,0.4300000000000000
RED_SEA,33,CHL,2008,03,0.2895000000000000
RED_SEA,33,CHL,2008,04,0.2134000000000000
RED_SEA,33,CHL,2008,05,0.1628000000000000
RED_SEA,33,CHL,2008,06,0.1611000000000000
RED_SEA,33,CHL,2008,07,0.08219000000000000
RED_SEA,33,CHL,2008,08,0.09823000000000000
RED_SEA,33,CHL,2008,09,0.09741000000000000
RED_SEA,33,CHL,2008,10,0.2098000000000000
RED_SEA,33,CHL,2008,11,0.2818000000000000
RED_SEA,33,CHL,2008,12,0.3272000000000000
RED_SEA,33,CHL,2009,01,0.3611000000000000
RED_SEA,33,CHL,2009,02,0.3574000000000000
RED_SEA,33,CHL,2009,03,0.2772000000000000
RED_SEA,33,CHL,2009,04,0.2003000000000000
RED_SEA,33,CHL,2009,05,0.1614000000000000
RED_SEA,33,CHL,2009,06,0.2031000000000000
RED_SEA,33,CHL,2009,07,0.09703000000000001
RED_SEA,33,CHL,2009,08,0.1083000000000000
RED_SEA,33,CHL,2009,09,0.1314000000000000
RED_SEA,33,CHL,2009,10,0.2061000000000000
RED_SEA,33,CHL,2009,11,0.2707000000000000
RED_SEA,33,CHL,2009,12,0.3306000000000000
RED_SEA,33,CHL,2010,01,0.3409000000000000
RED_SEA,33,CHL,2010,02,0.3269000000000000
RED_SEA,33,CHL,2010,03,0.2781000000000000
RED_SEA,33,CHL,2010,04,0.1885000000000000
RED_SEA,33,CHL,2010,05,0.1818000000000000
RED_SEA,33,CHL,2010,06,0.2487000000000000
RED_SEA,33,CHL,2010,07,0.1872000000000000
RED_SEA,33,CHL,2010,08,0.09549000000000001
RED_SEA,33,CHL,2010,09,0.1491000000000000
RED_SEA,33,CHL,2010,10,0.1718000000000000
RED_SEA,33,CHL,2010,11,0.2221000000000000
RED_SEA,33,CHL,2010,12,0.2992000000000000
RED_SEA,33,CHL,2011,01,0.3152000000000000
RED_SEA,33,CHL,2011,02,0.2539000000000000
RED_SEA,33,CHL,2011,03,0.2340000000000000
RED_SEA,33,CHL,2011,04,0.1776000000000000
RED_SEA,33,CHL,2011,05,0.1346000000000000
RED_SEA,33,CHL,2011,06,0.1228000000000000
RED_SEA,33,CHL,2011,07,0.1067000000000000
RED_SEA,33,CHL,2011,08,0.08502000000000000
RED_SEA,33,CHL,2011,09,0.08800000000000000
RED_SEA,33,CHL,2011,10,0.1727000000000000
RED_SEA,33,CHL,2011,11,0.2313000000000000
RED_SEA,33,CHL,2011,12,0.2994000000000000
RED_SEA,33,CHL,2012,01,0.3577000000000000
RED_SEA,33,CHL,2012,02,0.3627000000000000
RED_SEA,33,CHL,2012,03,0.2331000000000000
RED_SEA,33,CHL,2012,04,0.1752000000000000
RED_SEA,33,CHL,2012,05,0.1550000000000000
RED_SEA,33,CHL,2012,06,0.1154000000000000
RED_SEA,33,CHL,2012,07,0.1098000000000000
RED_SEA,33,CHL,2012,08,0.06959000000000000
RED_SEA,33,CHL,2012,09,0.1080000000000000
RED_SEA,33,CHL,2012,10,0.1802000000000000
RED_SEA,33,CHL,2012,11,0.2375000000000000
RED_SEA,33,CHL,2012,12,0.2895000000000000
RED_SEA,33,CHL,2013,01,0.3349000000000000
RED_SEA,33,CHL,2013,02,0.2987000000000000
RED_SEA,33,CHL,2013,03,0.1932000000000000
RED_SEA,33,CHL,2013,04,0.1482000000000000
RED_SEA,33,CHL,2013,05,0.1428000000000000
RED_SEA,33,CHL,2013,06,0.08527000000000000
RED_SEA,33,CHL,2013,07,0.08393000000000001
RED_SEA,33,CHL,2013,08,0.1013000000000000
RED_SEA,33,CHL,2013,09,0.1149000000000000
RED_SEA,33,CHL,2013,10,0.2154000000000000
RED_SEA,33,CHL,2013,11,0.2480000000000000
RED_SEA,33,CHL,2013,12,0.3134000000000000
