LME,CODE,PROD,YEAR,MEAN
SEA_OF_OKHOTSK,52,CHL,1998,0.9620000000000000
SEA_OF_OKHOTSK,52,CHL,1999,0.8772000000000000
SEA_OF_OKHOTSK,52,CHL,2000,0.8287000000000000
SEA_OF_OKHOTSK,52,CHL,2001,0.8777000000000000
SEA_OF_OKHOTSK,52,CHL,2002,0.7545000000000000
SEA_OF_OKHOTSK,52,CHL,2003,0.6887000000000000
SEA_OF_OKHOTSK,52,CHL,2004,0.7500000000000000
SEA_OF_OKHOTSK,52,CHL,2005,0.7694000000000000
SEA_OF_OKHOTSK,52,CHL,2006,0.7892000000000000
SEA_OF_OKHOTSK,52,CHL,2007,0.7280000000000000
SEA_OF_OKHOTSK,52,CHL,2008,0.7030000000000000
SEA_OF_OKHOTSK,52,CHL,2009,0.6775000000000000
SEA_OF_OKHOTSK,52,CHL,2010,0.6955000000000000
SEA_OF_OKHOTSK,52,CHL,2011,0.6757000000000000
SEA_OF_OKHOTSK,52,CHL,2012,0.8352000000000001
SEA_OF_OKHOTSK,52,CHL,2013,0.7767000000000000
