LME,CODE,PROD,YEAR,MONTH,MEAN
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998,01,0.4306000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998,02,0.4989000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998,03,0.4068000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998,04,0.3333000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998,05,0.2729000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998,06,0.2076000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998,07,0.1982000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998,08,0.1755000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998,09,0.1887000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998,10,0.2084000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998,11,0.2575000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998,12,0.2773000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1999,01,0.3191000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1999,02,0.3095000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1999,03,0.2739000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1999,04,0.1996000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1999,05,0.1760000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1999,06,0.1532000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1999,07,0.1532000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1999,08,0.1563000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1999,09,0.2362000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1999,10,0.2435000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1999,11,0.2706000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1999,12,0.2925000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,2000,01,0.3073000000000000
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,2000,02,0.2872000000000000
