LME,CODE,PROD,YEAR,MEAN
SOUTH_BRAZIL_SHELF,15,CHL,1998,0.2672000000000000
SOUTH_BRAZIL_SHELF,15,CHL,1999,0.2405000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2000,0.2391000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2001,0.2328000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2002,0.2302000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2003,0.2620000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2004,0.2087000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2005,0.2209000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2006,0.2238000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2007,0.2400000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2008,0.2248000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2009,0.2082000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2010,0.2585000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2011,0.2361000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2012,0.2331000000000000
SOUTH_BRAZIL_SHELF,15,CHL,2013,0.2292000000000000
