LME,CODE,PROD,YEAR,MONTH,MEAN
YELLOW_SEA,48,CHL,1998,01,2.345000000000000
YELLOW_SEA,48,CHL,1998,02,2.323000000000000
YELLOW_SEA,48,CHL,1998,03,2.351000000000000
YELLOW_SEA,48,CHL,1998,04,2.093000000000000
YELLOW_SEA,48,CHL,1998,05,1.558000000000000
YELLOW_SEA,48,CHL,1998,06,1.315000000000000
YELLOW_SEA,48,CHL,1998,07,1.215000000000000
YELLOW_SEA,48,CHL,1998,08,1.236000000000000
YELLOW_SEA,48,CHL,1998,09,1.452000000000000
YELLOW_SEA,48,CHL,1998,10,1.747000000000000
YELLOW_SEA,48,CHL,1998,11,1.917000000000000
YELLOW_SEA,48,CHL,1998,12,2.445000000000000
YELLOW_SEA,48,CHL,1999,01,2.561000000000000
YELLOW_SEA,48,CHL,1999,02,2.493000000000000
YELLOW_SEA,48,CHL,1999,03,2.436000000000000
YELLOW_SEA,48,CHL,1999,04,2.083000000000000
YELLOW_SEA,48,CHL,1999,05,1.816000000000000
YELLOW_SEA,48,CHL,1999,06,1.310000000000000
YELLOW_SEA,48,CHL,1999,07,1.124000000000000
YELLOW_SEA,48,CHL,1999,08,1.186000000000000
YELLOW_SEA,48,CHL,1999,09,1.447000000000000
YELLOW_SEA,48,CHL,1999,10,1.774000000000000
YELLOW_SEA,48,CHL,1999,11,1.768000000000000
YELLOW_SEA,48,CHL,1999,12,2.215000000000000
YELLOW_SEA,48,CHL,2000,01,2.651000000000000
YELLOW_SEA,48,CHL,2000,02,2.348000000000000
YELLOW_SEA,48,CHL,2000,03,2.450000000000000
YELLOW_SEA,48,CHL,2000,04,2.535000000000000
YELLOW_SEA,48,CHL,2000,05,1.807000000000000
YELLOW_SEA,48,CHL,2000,06,1.420000000000000
YELLOW_SEA,48,CHL,2000,07,1.220000000000000
YELLOW_SEA,48,CHL,2000,08,1.293000000000000
YELLOW_SEA,48,CHL,2000,09,1.735000000000000
YELLOW_SEA,48,CHL,2000,10,1.852000000000000
YELLOW_SEA,48,CHL,2000,11,1.956000000000000
YELLOW_SEA,48,CHL,2000,12,2.017000000000000
YELLOW_SEA,48,CHL,2001,01,2.300000000000000
YELLOW_SEA,48,CHL,2001,02,2.279000000000000
YELLOW_SEA,48,CHL,2001,03,2.642000000000000
YELLOW_SEA,48,CHL,2001,04,2.490000000000000
YELLOW_SEA,48,CHL,2001,05,1.718000000000000
YELLOW_SEA,48,CHL,2001,06,1.567000000000000
YELLOW_SEA,48,CHL,2001,07,1.305000000000000
YELLOW_SEA,48,CHL,2001,08,1.319000000000000
YELLOW_SEA,48,CHL,2001,09,1.373000000000000
YELLOW_SEA,48,CHL,2001,10,1.731000000000000
YELLOW_SEA,48,CHL,2001,11,1.851000000000000
YELLOW_SEA,48,CHL,2001,12,2.264000000000000
YELLOW_SEA,48,CHL,2002,01,2.232000000000000
YELLOW_SEA,48,CHL,2002,02,2.211000000000000
YELLOW_SEA,48,CHL,2002,03,2.344000000000000
YELLOW_SEA,48,CHL,2002,04,2.362000000000000
YELLOW_SEA,48,CHL,2002,05,1.836000000000000
YELLOW_SEA,48,CHL,2002,06,1.401000000000000
YELLOW_SEA,48,CHL,2002,07,1.165000000000000
YELLOW_SEA,48,CHL,2002,08,1.253000000000000
YELLOW_SEA,48,CHL,2002,09,1.440000000000000
YELLOW_SEA,48,CHL,2002,10,1.693000000000000
YELLOW_SEA,48,CHL,2002,11,1.846000000000000
YELLOW_SEA,48,CHL,2002,12,1.904000000000000
YELLOW_SEA,48,CHL,2003,01,1.955000000000000
YELLOW_SEA,48,CHL,2003,02,2.157000000000000
YELLOW_SEA,48,CHL,2003,03,2.464000000000000
YELLOW_SEA,48,CHL,2003,04,1.853000000000000
YELLOW_SEA,48,CHL,2003,05,1.607000000000000
YELLOW_SEA,48,CHL,2003,06,1.300000000000000
YELLOW_SEA,48,CHL,2003,07,1.284000000000000
YELLOW_SEA,48,CHL,2003,08,1.411000000000000
