LME NUMBER; LME_NAME;Area of coral (km2);LME Area;Coral percentage in LME
40;Northeast Australian Shelf;36315.00;1281700.06;2.83
38;Indonesian Sea;25673.50;2266996.23;1.13
12;Caribbean Sea;20791.00;3263023.65;0.64
37;Sulu-Celebes Sea;20186.75;1013560.79;1.99
99;Pacific Warm Pool;18870.00;12798050.00;0.15
36;South China Sea;13382.25;3164770.28;0.42
33;Red Sea;12242.50;460924.50;2.66
30;Agulhas Current;7923.00;2626582.48;0.30
34;Bay of Bengal;4890.00;3664824.04;0.13
10;Insular Pacific-Hawaiian;3978.00;980517.50;0.41
32;Arabian Sea;3844.75;3932202.15;0.10
31;Somali Coastal Current;3841.00;840343.38;0.46
45;Northwest Australian Shelf;2842.75;911715.83;0.31
39;North Australian Shelf;1871.50;779892.47;0.24
49;Kuroshio Current;1569.75;1321400.15;0.12
5;Gulf of Mexico;1336.25;1533006.69;0.09
6;Southeast U.S. Continental Shelf;1166.25;301676.08;0.39
16;East Brazil Shelf;1027.25;1075022.63;0.10
44;West Central Australian Shelf;875.00;580405.05;0.15
35;Gulf of Thailand;654.75;387517.37;0.17
11;Pacific Central-American Coastal;514.50;1983490.20;0.03
47;East China Sea;497.50;779633.54;0.06
41;East Central Australian Shelf;139.75;652836.70;0.02
17;North Brazil Shelf;126.50;1053656.52;0.01
4;Gulf of California;18.25;222332.38;0.01
