ID;LME;IYear;MTI;FiB;;
1;1;1950;3.665121398;0;;**MTI is the Marine Trophic Index
2;1;1951;3.695325949;0.30935817;;**FiB is the Fishing-in-Balance index
3;1;1952;3.643146569;0.338217182;;
4;1;1953;3.637283372;0.431219959;;
5;1;1954;3.633666094;0.5376362;;
6;1;1955;3.670271588;0.618720563;;
7;1;1956;3.642704972;0.697696086;;
8;1;1957;3.631270648;0.71366128;;
9;1;1958;3.631310725;0.753125951;;
10;1;1959;3.571463534;0.712386692;;
11;1;1960;3.536640536;0.817806029;;
12;1;1961;3.541089948;0.910969639;;
13;1;1962;3.53476338;0.991491577;;
14;1;1963;3.521740284;1.010593411;;
15;1;1964;3.503519341;1.149430199;;
16;1;1965;3.496899325;1.264416819;;
17;1;1966;3.500470699;0.974032057;;
18;1;1967;3.475788391;0.797457179;;
19;1;1968;3.506456264;0.927410566;;
20;1;1969;3.457594547;0.753877638;;
21;1;1970;3.511626605;1.085798142;;
22;1;1971;3.526405191;1.101271561;;
23;1;1972;3.448657027;1.098348175;;
24;1;1973;3.424066067;0.799629838;;
25;1;1974;3.44593446;1.064897148;;
26;1;1975;3.44434656;1.000383489;;
27;1;1976;3.449060287;1.184333565;;
28;1;1977;3.435634657;1.137712342;;
29;1;1978;3.440667097;0.976763715;;
30;1;1979;3.445023304;0.933464483;;
31;1;1980;3.463755004;1.030193572;;
32;1;1981;3.492760708;1.167091278;;
33;1;1982;3.531239445;1.604015329;;
34;1;1983;3.534412667;1.798264573;;
35;1;1984;3.526724141;1.942223333;;
36;1;1985;3.497436861;2.049885036;;
37;1;1986;3.479729674;2.198403595;;
38;1;1987;3.470418784;2.148502272;;
39;1;1988;3.458394175;2.07411732;;
40;1;1989;3.511633774;1.995861927;;
41;1;1990;3.508696606;2.00839301;;
42;1;1991;3.495639096;1.857984436;;
43;1;1992;3.475800089;1.890856902;;
44;1;1993;3.49546193;1.959974471;;
45;1;1994;3.518876636;2.009190991;;
46;1;1995;3.548678143;2.100654065;;
47;1;1996;3.53791914;1.995974314;;
48;1;1997;3.52927657;1.91226368;;
49;1;1998;3.510930373;1.840376167;;
50;1;1999;3.54705824;1.84854627;;
51;1;2000;3.556971659;1.85675012;;
52;1;2001;3.563446747;1.988343715;;
53;1;2002;3.534285538;1.919806999;;
54;1;2003;3.552999096;2.007610069;;
55;1;2004;3.551082848;1.974498719;;
56;1;2005;3.562629129;2.041141654;;
57;1;2006;3.526986631;1.926519324;;
58;1;2007;3.475829428;1.558880598;;
59;1;2008;3.474776145;1.424092505;;
60;1;2009;3.479825046;1.324093129;;
61;1;2010;3.480864894;1.386826003;;
62;10;1950;4.056707518;0;;
63;10;1951;3.989922781;-0.373531689;;
64;10;1952;3.947779826;-0.57046113;;
65;10;1953;3.888275637;-0.929461574;;
66;10;1954;3.779052772;-1.317057036;;
67;10;1955;3.737893007;-1.429541402;;
68;10;1956;3.718671694;-1.286947132;;
69;10;1957;3.682671594;-1.282672707;;
70;10;1958;3.739529668;-1.200007703;;
71;10;1959;3.711698649;-1.204908358;;
72;10;1960;3.682864805;-1.206654731;;
73;10;1961;3.702184919;-1.056323509;;
74;10;1962;3.691390427;-1.128797889;;
75;10;1963;3.68809001;-1.097294917;;
76;10;1964;3.684291976;-1.121649214;;
77;10;1965;3.69200834;-1.101608471;;
78;10;1966;3.66366394;-1.092095778;;
79;10;1967;3.653049049;-0.983017821;;
80;10;1968;3.505084335;-1.0415672;;
81;10;1969;3.532445545;-0.996395491;;
82;10;1970;3.505791062;-1.050306857;;
83;10;1971;3.497543098;-1.054644212;;
84;10;1972;3.511409064;-1.054861973;;
85;10;1973;3.512521765;-0.897127711;;
86;10;1974;3.532857017;-0.988088637;;
87;10;1975;3.539636738;-0.987889445;;
88;10;1976;3.620307127;-0.711020831;;
89;10;1977;3.577000859;-0.702211024;;
90;10;1978;3.565935555;-0.561163132;;
91;10;1979;3.549590433;-0.513777781;;
92;10;1980;3.535564122;-0.51835356;;
93;10;1981;3.509090749;-0.398005359;;
94;10;1982;3.590715262;-0.390481715;;
95;10;1983;3.57471738;-0.576274614;;
96;10;1984;3.576152498;-0.545148868;;
97;10;1985;3.482812807;-0.158771554;;
98;10;1986;3.445076466;-0.15937926;;
99;10;1987;3.472043001;-0.008040719;;
100;10;1988;3.356469875;-0.390095357;;
101;10;1989;3.504526364;-1.728813099;;
102;10;1990;3.51279863;-1.775120947;;
103;10;1991;3.487374166;-1.945685495;;
104;10;1992;3.495293539;-2.070496237;;
105;10;1993;3.608290521;-1.861915085;;
106;10;1994;3.755081578;-1.431725041;;
107;10;1995;3.816209323;-1.134709736;;
108;10;1996;3.833295859;-1.042669352;;
109;10;1997;3.283232247;-3.272117318;;
110;10;1998;3.532079539;-2.637447132;;
111;10;1999;3.486511717;-3.028434511;;
112;10;2000;3.354207298;-3.054490506;;
113;10;2001;3.368360767;-3.390350985;;
114;10;2002;3.495758071;-3.124245119;;
115;10;2003;3.618416006;-2.863943421;;
116;10;2004;3.348502457;-3.834533032;;
117;10;2005;3.38350125;-3.917851322;;
118;10;2006;3.3856943;-3.803710134;;
119;10;2007;3.362530496;-3.144315423;;
120;10;2008;3.409217796;-3.16022873;;
121;10;2009;3.394485381;-3.156417743;;
122;10;2010;3.428541636;-3.039218234;;
123;11;1950;3.045818173;0;;
124;11;1951;3.066091654;0.257009126;;
125;11;1952;3.257269853;0.456367616;;
126;11;1953;3.18727832;0.458014611;;
127;11;1954;3.071517176;0.581106482;;
128;11;1955;3.037866825;0.67900355;;
129;11;1956;3.086687514;0.918669084;;
130;11;1957;3.120881172;0.820459316;;
131;11;1958;3.059770567;1.06898733;;
132;11;1959;2.975114481;1.322313081;;
133;11;1960;2.93787667;1.504259907;;
134;11;1961;2.889791112;1.682368622;;
135;11;1962;2.850698021;1.787194413;;
136;11;1963;2.857834346;1.822328895;;
137;11;1964;2.855422306;2.073101812;;
138;11;1965;2.835975774;1.933995956;;
139;11;1966;2.819730548;2.113127787;;
140;11;1967;2.857886629;2.35285963;;
141;11;1968;2.875586324;2.450870714;;
142;11;1969;2.93558131;2.383620179;;
143;11;1970;2.879335441;2.511036567;;
144;11;1971;2.881027185;2.476210731;;
145;11;1972;3.01682692;2.400088468;;
146;11;1973;3.065111076;2.639017859;;
147;11;1974;3.010403727;2.451323584;;
148;11;1975;2.981907016;2.390785451;;
149;11;1976;2.752206447;2.630386715;;
150;11;1977;2.68642682;2.830874438;;
151;11;1978;2.814041203;2.644575679;;
152;11;1979;2.752762157;2.678169587;;
153;11;1980;2.745309262;2.761579722;;
154;11;1981;2.71292794;2.748901274;;
155;11;1982;2.672263512;2.614653409;;
156;11;1983;2.609924262;2.139349174;;
157;11;1984;2.615726897;2.696091039;;
158;11;1985;2.545765459;2.790560655;;
159;11;1986;2.58404685;2.685443914;;
160;11;1987;2.587082683;2.614759538;;
161;11;1988;2.615605204;2.833251412;;
162;11;1989;2.653572952;2.892091619;;
163;11;1990;2.718472821;2.699283816;;
164;11;1991;2.683414292;2.745822148;;
165;11;1992;2.709067155;2.837821364;;
166;11;1993;2.709131645;2.960290542;;
167;11;1994;2.701959727;3.131206171;;
168;11;1995;2.748286801;3.160894304;;
169;11;1996;2.758571378;3.050634753;;
170;11;1997;2.8729381;3.19770059;;
171;11;1998;2.885084297;3.129993484;;
172;11;1999;3.002905528;3.209178852;;
173;11;2000;2.850487508;3.033945301;;
174;11;2001;2.889141284;3.204295349;;
175;11;2002;2.898699321;3.141262642;;
176;11;2003;2.956844903;3.130959575;;
177;11;2004;2.974301886;3.133505456;;
178;11;2005;2.955492173;3.10491709;;
179;11;2006;2.980516183;3.215296024;;
180;11;2007;2.915521239;3.212006205;;
181;11;2008;2.917223919;3.194438835;;
182;11;2009;2.915360161;3.181826567;;
183;11;2010;2.951643256;3.032870606;;
184;12;1950;3.579854123;0;;
185;12;1951;3.584440541;0.003621397;;
186;12;1952;3.546657626;-0.177310159;;
187;12;1953;3.534058027;-0.192729515;;
188;12;1954;3.554984927;-0.173204512;;
189;12;1955;3.539975814;0.001848118;;
190;12;1956;3.506381954;-0.045376004;;
191;12;1957;3.462088137;0.028359646;;
192;12;1958;3.483455752;0.171965862;;
193;12;1959;3.503375026;0.303764882;;
194;12;1960;3.496896887;0.370665172;;
195;12;1961;3.478683036;0.345361856;;
196;12;1962;3.496670994;0.590061893;;
197;12;1963;3.48484581;0.538608896;;
198;12;1964;3.463363618;0.556163589;;
199;12;1965;3.413255033;0.483703261;;
200;12;1966;3.410688821;0.530314223;;
201;12;1967;3.36800086;0.438469693;;
202;12;1968;3.356155038;0.436834346;;
203;12;1969;3.357631352;0.41947858;;
204;12;1970;3.314560561;0.48515609;;
205;12;1971;3.337786347;0.604654703;;
206;12;1972;3.321158695;0.801184821;;
207;12;1973;3.345368679;0.820127337;;
208;12;1974;3.356233887;0.821666027;;
209;12;1975;3.330723163;0.82494724;;
210;12;1976;3.290558081;0.712323358;;
211;12;1977;3.314245918;0.608426977;;
212;12;1978;3.193421414;0.335101672;;
213;12;1979;3.271847553;0.529973078;;
214;12;1980;3.289137023;0.507843549;;
215;12;1981;3.273332464;0.454107909;;
216;12;1982;3.264608671;0.644079311;;
217;12;1983;3.30443104;0.751737246;;
218;12;1984;3.213701624;0.582017619;;
219;12;1985;3.276513381;0.766462129;;
220;12;1986;3.28918953;0.824202217;;
