Year,Effective effort (kilowatt)
1950,7 966 508.13
1951,8 225 797.13
1952,8 891 860.15
1953,9 049 215.51
1954,8 456 729.98
1955,12 080 738.83
1956,12 041 819.24
1957,14 203 091.60
1958,11 869 617.03
1959,12 990 680.11
1960,14 119 781.70
1961,13 341 547.52
1962,14 808 411.89
1963,18 248 350.52
1964,17 013 833.02
1965,13 874 307.29
1966,18 123 777.37
1967,14 550 559.78
1968,15 830 878.68
1969,17 028 262.10
1970,21 098 790.67
1971,23 126 456.11
1972,33 810 059.66
1973,36 484 784.43
1974,38 759 413.30
1975,46 803 462.06
1976,48 275 543.15
1977,58 177 504.12
1978,78 165 123.16
1979,85 658 401.50
1980,88 772 111.86
1981,168 613 771.09
1982,254 919 548.23
1983,492 191 289.76
1984,598 380 660.92
1985,463 755 167.97
1986,647 807 884.20
1987,755 111 971.81
1988,936 336 959.20
1989,975 346 154.07
1990,1 105 540 007.47
1991,1 310 584 984.11
1992,1 701 576 293.04
1993,1 768 021 419.10
1994,1 659 611 989.27
1995,1 452 290 255.24
1996,1 434 571 098.74
1997,1 200 182 362.17
1998,1 783 427 123.73
1999,1 889 035 009.45
2000,1 582 313 425.06
2001,2 055 591 121.52
2002,2 125 549 368.17
2003,1 991 688 356.09
2004,2 353 855 024.58
2005,2 322 163 255.19
2006,2 442 668 784.24
