lme_nbr;STN Basin Count;ld_din;ld_don;ld_pn;ld_dip;ld_dop;ld_pp;ld_dsi;Qact;N:P molar ratio;icep;icep_n;icep_p
;;Tg/yr;Tg/yr;Tg/yr;Tg/yr;Tg/yr;Tg/yr;Tg/yr;km3/yr;;;kg C km-2 day-1;
1;37;0.010;0.028;0.027;0.0010;0.0015;0.0115;0.250;96.22;11.75;-2.95;-2.71;-0.80
2;112;0.187;0.208;0.299;0.0124;0.0111;0.1467;3.548;774.66;11.50;-22.91;-21.95;-8.55
3;56;0.172;0.115;0.096;0.0102;0.0060;0.0467;1.205;364.15;15.53;-7.83;-7.04;-4.61
4;43;0.015;0.007;0.015;0.0009;0.0004;0.0074;0.282;38.35;12.20;-5.18;-4.88;-4.05
5;80;1.060;0.358;0.337;0.0510;0.0193;0.1561;3.482;1085.76;18.86;-1.40;0.32;0.77
6;29;0.123;0.033;0.016;0.0084;0.0016;0.0068;0.484;87.39;30.28;-3.20;0.46;-2.79
7;52;0.377;0.103;0.055;0.0299;0.0048;0.0228;0.893;295.54;24.42;0.33;4.85;1.08
8;23;0.064;0.024;0.013;0.0015;0.0013;0.0054;0.263;82.89;30.60;-7.25;-0.70;-7.25
9;116;0.416;0.276;0.088;0.0169;0.0143;0.0367;1.172;891.43;26.88;-0.89;1.65;-0.54
10;4;0.009;0.004;0.000;0.0002;0.0002;0.0000;0.315;13.35;67.18;-142.55;-130.54;-142.55
11;89;0.331;0.195;0.248;0.0276;0.0100;0.1284;4.084;607.57;15.35;-38.60;-35.15;-18.15
12;150;0.597;0.311;0.472;0.0683;0.0168;0.2345;6.194;991.93;9.96;-24.61;-24.33;-5.15
13;149;0.177;0.101;0.194;0.0159;0.0054;0.0905;2.174;321.78;11.47;-19.57;-19.00;-11.93
14;84;0.506;0.290;0.162;0.0232;0.0158;0.0753;1.908;854.15;27.50;-0.81;1.43;-0.50
15;26;0.191;0.064;0.045;0.0281;0.0035;0.0203;0.812;170.42;14.93;-3.85;-2.79;-0.71
16;48;0.104;0.068;0.046;0.0098;0.0041;0.0206;0.773;199.39;21.74;-1.38;-0.82;0.80
17;61;1.464;2.504;2.389;0.1395;0.1356;1.0122;24.621;8959.56;11.16;-7.02;-6.62;-0.85
18;345;0.051;0.035;0.046;0.0011;0.0019;0.0222;0.172;168.98;27.72;-0.20;2.80;0.97
19;78;0.021;0.016;0.018;0.0006;0.0008;0.0092;0.123;70.47;20.99;1.63;4.07;5.68
20;192;0.170;0.131;0.104;0.0057;0.0070;0.0442;1.233;455.23;15.46;-1.72;-1.13;-0.51
21;23;0.019;0.023;0.033;0.0013;0.0012;0.0151;0.490;81.99;10.59;-25.49;-25.02;-14.06
22;82;0.589;0.153;0.077;0.0496;0.0065;0.0331;1.118;341.71;29.76;-2.22;4.80;0.84
23;119;0.317;0.128;0.069;0.0246;0.0062;0.0286;0.986;378.97;20.60;-0.47;0.76;-0.05
24;79;0.625;0.103;0.069;0.0529;0.0055;0.0292;1.137;251.05;21.07;-3.16;4.91;-1.92
25;34;0.108;0.035;0.029;0.0155;0.0016;0.0128;0.385;92.71;14.61;0.03;0.64;2.41
26;248;0.547;0.164;0.219;0.0935;0.0074;0.1172;1.609;698.68;9.04;2.46;2.72;6.43
27;60;0.042;0.025;0.033;0.0043;0.0013;0.0146;0.233;72.1;13.37;0.14;0.21;1.30
28;83;0.675;0.796;0.666;0.0338;0.0427;0.3059;7.193;2698.52;14.23;-3.85;-3.49;1.14
29;54;0.090;0.043;0.201;0.0028;0.0022;0.0899;0.406;130.6;21.36;-0.71;1.32;0.85
30;126;0.462;0.272;0.466;0.0230;0.0144;0.2142;3.157;886.75;16.55;-3.56;-2.70;0.01
31;47;0.050;0.038;0.102;0.0026;0.0021;0.0536;1.282;122.52;8.47;-3.17;-3.14;0.40
32;176;0.355;0.125;0.126;0.0241;0.0069;0.0641;0.753;330.17;15.83;-1.61;1.40;8.43
33;76;0.010;0.005;0.090;0.0047;0.0002;0.0400;0.089;5.98;7.35;-1.02;-1.00;6.09
34;133;4.140;0.877;2.123;0.2368;0.0536;1.2193;10.289;2822.7;11.18;8.66;9.24;26.87
35;38;0.119;0.077;0.098;0.0100;0.0044;0.0469;1.140;266.62;13.60;-9.01;-7.94;0.13
36;110;1.945;0.568;0.825;0.0907;0.0324;0.4160;9.781;1899.13;14.48;-15.40;-11.79;-4.77
37;62;0.164;0.125;0.357;0.0094;0.0068;0.1763;2.745;445.61;12.27;-27.46;-25.86;-3.26
38;140;0.340;0.301;0.456;0.0387;0.0154;0.2250;6.631;1023.01;15.52;-34.14;-32.85;-14.94
39;55;0.062;0.063;0.070;0.0025;0.0034;0.0300;0.606;227.6;11.66;-0.68;-0.56;1.21
40;34;0.051;0.033;0.033;0.0022;0.0018;0.0146;0.313;113.32;17.27;-2.35;-1.04;1.59
41;29;0.040;0.017;0.015;0.0057;0.0008;0.0065;0.257;44.05;16.66;-1.58;-0.59;0.06
42;54;0.056;0.025;0.024;0.0049;0.0013;0.0110;0.369;78.82;18.90;-2.47;-0.64;-1.06
43;54;0.007;0.004;0.008;0.0009;0.0002;0.0036;0.036;10.32;15.00;0.81;1.73;1.28
44;19;0.007;0.004;0.004;0.0012;0.0002;0.0021;0.034;11.44;9.87;2.14;2.14;3.26
45;32;0.010;0.010;0.029;0.0002;0.0006;0.0135;0.137;35.78;10.11;-0.89;-0.78;0.39
46;72;0.376;0.110;0.110;0.0396;0.0079;0.0515;2.069;376.65;16.53;-31.90;-28.65;-14.28
47;31;2.324;0.388;0.252;0.1146;0.0230;0.1218;2.681;1072.17;25.45;4.07;13.00;5.45
48;50;0.444;0.093;0.062;0.0543;0.0043;0.0302;0.584;148.65;18.58;9.17;13.07;15.15
49;55;0.373;0.091;0.152;0.0591;0.0046;0.0812;1.577;211.01;17.12;-8.32;-6.43;22.12
50;87;0.332;0.076;0.122;0.0232;0.0047;0.0605;1.539;245.21;21.88;-5.55;-2.62;4.46
51;8;0.017;0.006;0.009;0.0003;0.0003;0.0039;0.195;21.76;17.04;-23.85;-22.31;-21.61
52;126;0.223;0.173;0.160;0.0147;0.0092;0.0682;2.319;536.76;12.83;-3.63;-3.51;-2.69
53;60;0.020;0.030;0.039;0.0013;0.0016;0.0175;1.032;102.63;10.38;-24.91;-24.82;-20.50
54;117;0.032;0.053;0.068;0.0010;0.0028;0.0319;0.700;194.88;10.58;-1.80;-1.70;-0.52
55;300;0.039;0.093;0.132;0.0014;0.0050;0.0582;0.793;333.27;9.03;-0.54;-0.53;0.65
56;50;0.025;0.050;0.051;0.0008;0.0027;0.0217;0.301;162.19;10.14;0.21;0.22;1.01
57;164;0.068;0.181;0.219;0.0040;0.0097;0.0943;1.178;608.17;8.89;0.06;0.06;1.49
58;185;0.222;0.362;0.287;0.0170;0.0190;0.1220;2.562;1174.85;11.48;-0.39;-0.38;0.22
59;31;0.019;0.016;0.022;0.0010;0.0009;0.0100;0.413;65.9;11.87;-21.89;-21.50;-15.97
60;1;0.000;0.000;0.000;0.0000;0.0000;0.0000;0.017;1.52;27.33;-69.73;-66.56;-69.73
62;63;0.391;0.160;0.097;0.0531;0.0068;0.0449;1.109;357.98;15.99;1.44;1.93;2.25
63;233;0.199;0.249;0.123;0.0069;0.0133;0.0510;1.843;849.46;19.38;-1.65;-1.04;-1.42
66;342;0.003;0.005;0.039;0.0000;0.0003;0.0195;0.016;20.46;23.81;1.34;1.65;5.08
