LME_NUMBER;LME_NAME;LME_AKM2;TotalArea_1982;TotalArea_1992;TotalArea_2002;TotalArea_2012;TotalArea_2014;Percentage_1982;Percentage_1992;Percentage_2002;Percentage;Percentage_2014;Area change (1982-2014);% change in MPA extent (1982-2014)
41;East Central Australian Shelf;655617.80;285.12;795.86;4932.19;197860.07;197860.07;0.04;0.12;0.75;30.18;30.18;692.95;69294.96
4;Gulf of California;223206.81;0.00;463.32;9127.51;14368.55;14368.55;0.00;0.21;4.09;6.44;6.44;500.00;50000.00
33;Red Sea;463248.37;1.68;674.12;12915.80;16629.53;16629.53;0.00;0.15;2.79;3.59;3.59;500.00;50000.00
45;Northwest Australian Shelf;917126.17;0.00;4101.29;4370.22;269117.33;269117.33;0.00;0.45;0.48;29.34;29.34;500.00;50000.00
43;South West Australian Shelf;1018722.22;821.54;846.56;20366.40;405891.69;405891.69;0.08;0.08;2.00;39.84;39.84;493.06;49306.16
44;West Central Australian Shelf;582439.97;0.00;10392.31;10392.41;194208.33;194208.33;0.00;1.78;1.78;33.34;33.34;300.00;30000.00
39;North Australian Shelf;784714.19;530.64;3533.55;3533.55;153288.15;153288.15;0.07;0.45;0.45;19.53;19.53;287.88;28787.61
42;Southeast Australian Shelf;1194982.40;961.18;1474.03;2304.18;248316.44;248316.44;0.08;0.12;0.19;20.78;20.78;257.35;25734.63
29;Benguela Current;1465862.03;91.60;395.94;559.07;20854.87;20854.87;0.01;0.03;0.04;1.42;1.42;226.68;22667.59
10;Insular Pacific-Hawaiian;984993.90;2672.38;350746.54;360245.42;370253.42;370253.42;0.27;35.61;36.57;37.59;37.59;137.55;13754.80
59;Iceland Shelf and Sea;482227.43;24.13;62.25;2723.45;2788.73;2788.73;0.01;0.01;0.56;0.58;0.58;114.57;11457.15
26;Mediterranean Sea;2534882.99;1357.26;6897.05;100996.19;106325.22;106325.22;0.05;0.27;3.98;4.19;4.19;77.34;7733.82
40;Northeast Australian Shelf;1287337.31;17652.70;23033.89;23767.71;1240237.86;1240237.86;1.37;1.79;1.85;96.34;96.34;69.26;6925.77
