lme_nbr,lme_name,stnbasin_area,qact,ld_din,ld_don,ld_pn,ld_dip,ld_dop,ld_pp,ld_dsi,ld_tn,ld_tp,icep_n,icep_p,icep,ld_din_cat,icep_cat,mergedind_cat
1,East Bering Sea,284 331,64.64,0.0091,0.0278,0.0270,0.00101,0.00149,0.01148,0.296,0.0639,0.01398,-2.99,-0.95,-2.99,1,2,1
2,Gulf of Alaska,909 612,725.16,0.1832,0.2178,0.3103,0.01241,0.01159,0.15347,3.616,0.7113,0.17747,-12.57,-2.80,-12.57,2,1,2
3,California Current,1 080 848,406.64,0.2065,0.1361,0.1189,0.01188,0.00719,0.05899,1.368,0.4615,0.07806,-1.23,0.24,-1.23,2,2,2
4,Gulf of California,1 209 302,48.45,0.0150,0.0075,0.0185,0.00153,0.00031,0.00906,0.291,0.0409,0.01091,-0.97,-0.48,-0.97,1,3,1
5,Gulf of Mexico,5 402 680,1 062.15,1.1380,0.3834,0.3245,0.06898,0.02117,0.15079,3.483,1.8459,0.24093,1.30,1.00,1.30,5,4,5
6,Southeast U.S. Continental Shelf,337 059,132.48,0.1257,0.0396,0.0184,0.00996,0.00187,0.00764,0.535,0.1837,0.01947,-1.41,-3.39,-3.39,2,2,2
7,Northeast U.S. Continental Shelf,562 072,283.05,0.4092,0.1161,0.0599,0.03228,0.00515,0.02488,1.099,0.5852,0.06231,4.02,0.29,0.29,3,3,3
8,Scotian Shelf,104 380,90.17,0.0691,0.0244,0.0137,0.00233,0.00135,0.00569,0.268,0.1073,0.00937,0.03,-5.87,-5.87,1,1,1
9,Labrador - Newfoundland,1 845 239,1 112.49,0.4307,0.2926,0.0934,0.01792,0.01510,0.03878,1.241,0.8167,0.07179,2.70,0.19,0.19,3,3,3
10,Insular Pacific-Hawaiian,14 510,15.72,0.0102,0.0041,0.0000,0.00020,0.00022,0.00000,0.333,0.0143,0.00042,-127.53,-139.67,-139.67,1,1,1
11,Pacific Central-American Coastal,835 890,607.40,0.5994,0.2260,0.2491,0.07488,0.01189,0.13094,4.092,1.0745,0.21771,-10.47,-1.18,-10.47,3,1,3
12,Caribbean Sea,1 242 435,747.72,0.9238,0.2948,0.3825,0.11995,0.01632,0.19110,5.373,1.6010,0.32738,-6.86,2.71,-6.86,4,1,4
13,Humboldt Current,1 074 721,351.75,0.2943,0.1198,0.2144,0.03220,0.00681,0.09938,2.301,0.6285,0.13839,-4.23,1.15,-4.23,3,2,3
