LME,CODE,PROD,YEAR,MEAN
ANTARCTICA,61,PPY,1998,390.2000000000000
ANTARCTICA,61,PPY,1999,333.6000000000000
ANTARCTICA,61,PPY,2000,325.8000000000000
ANTARCTICA,61,PPY,2001,403.1000000000000
ANTARCTICA,61,PPY,2002,296.9000000000000
ANTARCTICA,61,PPY,2003,207.9000000000000
ANTARCTICA,61,PPY,2004,274.1000000000000
ANTARCTICA,61,PPY,2005,236.0000000000000
ANTARCTICA,61,PPY,2006,253.8000000000000
ANTARCTICA,61,PPY,2007,248.3000000000000
ANTARCTICA,61,PPY,2008,222.4000000000000
ANTARCTICA,61,PPY,2009,251.0000000000000
ANTARCTICA,61,PPY,2010,284.9000000000000
ANTARCTICA,61,PPY,2011,235.8000000000000
ANTARCTICA,61,PPY,2012,234.3000000000000
ANTARCTICA,61,PPY,2013,278.0000000000000
