LME,CODE,PROD,YEAR,MEAN
EAST_BRAZIL_SHELF,16,PPY,1998,138.7000000000000
EAST_BRAZIL_SHELF,16,PPY,1999,145.6000000000000
EAST_BRAZIL_SHELF,16,PPY,2000,143.5000000000000
EAST_BRAZIL_SHELF,16,PPY,2001,138.0000000000000
EAST_BRAZIL_SHELF,16,PPY,2002,133.5000000000000
EAST_BRAZIL_SHELF,16,PPY,2003,129.3000000000000
EAST_BRAZIL_SHELF,16,PPY,2004,131.0000000000000
EAST_BRAZIL_SHELF,16,PPY,2005,138.9000000000000
EAST_BRAZIL_SHELF,16,PPY,2006,134.7000000000000
EAST_BRAZIL_SHELF,16,PPY,2007,132.7000000000000
EAST_BRAZIL_SHELF,16,PPY,2008,123.0000000000000
EAST_BRAZIL_SHELF,16,PPY,2009,132.2000000000000
EAST_BRAZIL_SHELF,16,PPY,2010,128.9000000000000
EAST_BRAZIL_SHELF,16,PPY,2011,127.3000000000000
EAST_BRAZIL_SHELF,16,PPY,2012,129.7000000000000
EAST_BRAZIL_SHELF,16,PPY,2013,119.1000000000000
