LME,CODE,PROD,YEAR,MEAN
GULF_OF_THAILAND,35,PPY,1998,406.3000000000000
GULF_OF_THAILAND,35,PPY,1999,401.9000000000000
GULF_OF_THAILAND,35,PPY,2000,397.1000000000000
GULF_OF_THAILAND,35,PPY,2001,393.5000000000000
GULF_OF_THAILAND,35,PPY,2002,429.7000000000000
GULF_OF_THAILAND,35,PPY,2003,431.1000000000000
GULF_OF_THAILAND,35,PPY,2004,405.6000000000000
GULF_OF_THAILAND,35,PPY,2005,413.1000000000000
GULF_OF_THAILAND,35,PPY,2006,400.4000000000000
GULF_OF_THAILAND,35,PPY,2007,407.5000000000000
GULF_OF_THAILAND,35,PPY,2008,384.0000000000000
GULF_OF_THAILAND,35,PPY,2009,394.8000000000000
GULF_OF_THAILAND,35,PPY,2010,412.7000000000000
GULF_OF_THAILAND,35,PPY,2011,390.5000000000000
GULF_OF_THAILAND,35,PPY,2012,375.3000000000000
GULF_OF_THAILAND,35,PPY,2013,368.7000000000000
