LME,CODE,PROD,YEAR,MEAN
IBERIAN_COASTAL,25,PPY,1998,188.7000000000000
IBERIAN_COASTAL,25,PPY,1999,198.6000000000000
IBERIAN_COASTAL,25,PPY,2000,185.6000000000000
IBERIAN_COASTAL,25,PPY,2001,186.8000000000000
IBERIAN_COASTAL,25,PPY,2002,181.9000000000000
IBERIAN_COASTAL,25,PPY,2003,164.2000000000000
IBERIAN_COASTAL,25,PPY,2004,170.7000000000000
IBERIAN_COASTAL,25,PPY,2005,179.2000000000000
IBERIAN_COASTAL,25,PPY,2006,179.7000000000000
IBERIAN_COASTAL,25,PPY,2007,186.8000000000000
IBERIAN_COASTAL,25,PPY,2008,171.1000000000000
IBERIAN_COASTAL,25,PPY,2009,193.1000000000000
IBERIAN_COASTAL,25,PPY,2010,188.4000000000000
IBERIAN_COASTAL,25,PPY,2011,177.7000000000000
IBERIAN_COASTAL,25,PPY,2012,166.1000000000000
IBERIAN_COASTAL,25,PPY,2013,173.6000000000000
