LME,CODE,PROD,YEAR,MEAN
ICELAND_SHELF_AND_SEA,59,PPY,1998,278.7000000000000
ICELAND_SHELF_AND_SEA,59,PPY,1999,248.8000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2000,226.2000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2001,216.1000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2002,202.1000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2003,200.8000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2004,197.9000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2005,226.8000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2006,209.4000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2007,201.7000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2008,227.8000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2009,213.4000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2010,187.7000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2011,215.9000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2012,225.1000000000000
ICELAND_SHELF_AND_SEA,59,PPY,2013,238.3000000000000
