LME,CODE,PROD,YEAR,MEAN
KARA_SEA,58,PPY,1998,521.9000000000000
KARA_SEA,58,PPY,1999,508.4000000000000
KARA_SEA,58,PPY,2000,326.7000000000000
KARA_SEA,58,PPY,2001,335.0000000000000
KARA_SEA,58,PPY,2002,294.9000000000000
KARA_SEA,58,PPY,2003,321.0000000000000
KARA_SEA,58,PPY,2004,298.6000000000000
KARA_SEA,58,PPY,2005,233.6000000000000
KARA_SEA,58,PPY,2006,259.0000000000000
KARA_SEA,58,PPY,2007,318.5000000000000
KARA_SEA,58,PPY,2008,313.5000000000000
KARA_SEA,58,PPY,2009,309.7000000000000
KARA_SEA,58,PPY,2010,220.9000000000000
KARA_SEA,58,PPY,2011,245.4000000000000
KARA_SEA,58,PPY,2012,303.4000000000000
KARA_SEA,58,PPY,2013,255.3000000000000
