LME_NAME,LME_CODE,PROD,PERIOD,N,MEAN
BALTIC_SEA,23,PPY,1998-2013,16,755
YELLOW_SEA,48,PPY,1998-2013,16,635
NORTH_BRAZIL_SHELF,17,PPY,1998-2013,16,623
BLACK_SEA,62,PPY,1998-2013,16,504
GULF_OF_CALIFORNIA,4,PPY,1998-2013,16,502
NORTH_AUSTRALIAN_SHELF,39,PPY,1998-2013,16,475
ARABIAN_SEA,32,PPY,1998-2013,16,450
EAST_CHINA_SEA,47,PPY,1998-2013,16,435
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,PPY,1998-2013,16,407
GULF_OF_THAILAND,35,PPY,1998-2013,16,401
GUINEA_CURRENT,28,PPY,1998-2013,16,392
INDONESIAN_SEA,38,PPY,1998-2013,16,380
BENGUELA_CURRENT,29,PPY,1998-2013,16,377
NORTHEAST_US_CONTINENTAL_SHELF,7,PPY,1998-2013,16,365
LAPTEV_SEA,57,PPY,1998-2013,16,352
PATAGONIAN_SHELF,14,PPY,1998-2013,16,351
BAY_OF_BENGAL,34,PPY,1998-2013,16,332
RED_SEA,33,PPY,1998-2013,16,330
NORTH_SEA,22,PPY,1998-2013,16,326
CANARY_CURRENT,27,PPY,1998-2013,16,323
KARA_SEA,58,PPY,1998-2013,16,317
SCOTIAN_SHELF,8,PPY,1998-2013,16,311
SEA_OF_OKHOTSK,52,PPY,1998-2013,16,288
SOUTH_CHINA_SEA,36,PPY,1998-2013,16,285
EAST_SIBERIAN_SEA,56,PPY,1998-2013,16,283
HUMBOLDT_CURRENT,13,PPY,1998-2013,16,281
ANTARCTICA,61,PPY,1998-2013,16,280
SOMALI_COASTAL_CURRENT,31,PPY,1998-2013,16,277
CELTIC_BISCAY_SHELF,24,PPY,1998-2013,16,272
GULF_OF_MEXICO,5,PPY,1998-2013,16,270
SULU_CELEBES_SEA,37,PPY,1998-2013,16,257
SOUTHEAST_US_CONTINENTAL_SHELF,6,PPY,1998-2013,16,237
EAST_BERING_SEA,1,PPY,1998-2013,16,235
WEST_BERING_SEA,53,PPY,1998-2013,16,234
NORTHWEST_AUSTRALIAN_SHELF,45,PPY,1998-2013,16,233
HUDSON_BAY_COMPLEX,63,PPY,1998-2013,16,233
SOUTH_BRAZIL_SHELF,15,PPY,1998-2013,16,233
CARIBBEAN_SEA,12,PPY,1998-2013,16,232
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,1998-2013,16,229
LABRADOR_NEWFOUNDLAND,9,PPY,1998-2013,16,224
GULF_OF_ALASKA,2,PPY,1998-2013,16,221
ICELAND_SHELF_AND_SEA,59,PPY,1998-2013,16,220
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,PPY,1998-2013,16,218
FAROE_PLATEAU,60,PPY,1998-2013,16,207
SEA_OF_JAPAN,50,PPY,1998-2013,16,207
BARENTS_SEA,20,PPY,1998-2013,16,199
OYASHIO_CURRENT,51,PPY,1998-2013,16,192
NORWEGIAN_SEA,21,PPY,1998-2013,16,189
AGULHAS_CURRENT,30,PPY,1998-2013,16,186
GREENLAND_SEA,19,PPY,1998-2013,16,182
IBERIAN_COASTAL,25,PPY,1998-2013,16,181
BEAUFORT_SEA,55,PPY,1998-2013,16,178
ALEUTIAN_ISLANDS,65,PPY,1998-2013,16,174
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,PPY,1998-2013,16,171
CENTRAL_ARCTIC,64,PPY,1998-2013,16,163
KUROSHIO_CURRENT,49,PPY,1998-2013,16,156
NEW_ZEALAND_SHELF,46,PPY,1998-2013,16,155
CALIFORNIA_CURRENT,3,PPY,1998-2013,16,144
SOUTHEAST_AUSTRALIAN_SHELF,42,PPY,1998-2013,16,142
WEST_CENTRAL_AUSTRALIAN_SHELF,44,PPY,1998-2013,16,141
EAST_BRAZIL_SHELF,16,PPY,1998-2013,16,133
PACIFIC_WARM_POOL,99,PPY,1998-2013,16,132
EAST_CENTRAL_AUSTRALIAN_SHELF,41,PPY,1998-2013,16,130
MEDITERRANEAN_SEA,26,PPY,1998-2013,16,116
NORTHEAST_AUSTRALIAN_SHELF,40,PPY,1998-2013,16,114
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,1998-2013,16,112
INSULAR_PACIFIC_HAWAIIAN,10,PPY,1998-2013,16,74
