LME,CODE,PROD,YEAR,MEAN
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,1998,296.5000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,1999,260.9000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2000,254.1000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2001,314.4000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2002,220.6000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2003,186.2000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2004,188.8000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2005,234.0000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2006,235.9000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2007,214.0000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2008,194.6000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2009,207.9000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2010,186.2000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2011,192.6000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2012,224.1000000000000
NORTHERN_BERING_CHUKCHI_SEAS,54,PPY,2013,247.6000000000000
