LME,CODE,PROD,YEAR,MEAN
NORTH_AUSTRALIAN_SHELF,39,PPY,1998,549.3000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,1999,471.6000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2000,431.1000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2001,473.7000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2002,472.6000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2003,515.3000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2004,495.8000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2005,519.8000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2006,462.1000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2007,469.7000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2008,451.2000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2009,470.8000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2010,506.6000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2011,433.4000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2012,421.2000000000000
NORTH_AUSTRALIAN_SHELF,39,PPY,2013,456.6000000000000
