LME,CODE,PROD,YEAR,MEAN
SEA_OF_JAPAN,50,PPY,1998,218.3000000000000
SEA_OF_JAPAN,50,PPY,1999,241.7000000000000
SEA_OF_JAPAN,50,PPY,2000,218.4000000000000
SEA_OF_JAPAN,50,PPY,2001,219.0000000000000
SEA_OF_JAPAN,50,PPY,2002,204.3000000000000
SEA_OF_JAPAN,50,PPY,2003,191.6000000000000
SEA_OF_JAPAN,50,PPY,2004,208.8000000000000
SEA_OF_JAPAN,50,PPY,2005,198.3000000000000
SEA_OF_JAPAN,50,PPY,2006,208.3000000000000
SEA_OF_JAPAN,50,PPY,2007,201.5000000000000
SEA_OF_JAPAN,50,PPY,2008,180.2000000000000
SEA_OF_JAPAN,50,PPY,2009,200.3000000000000
SEA_OF_JAPAN,50,PPY,2010,215.8000000000000
SEA_OF_JAPAN,50,PPY,2011,199.7000000000000
SEA_OF_JAPAN,50,PPY,2012,193.5000000000000
SEA_OF_JAPAN,50,PPY,2013,212.0000000000000
