LME,CODE,PROD,YEAR,MEAN
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,1998,119.2000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,1999,123.4000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2000,118.4000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2001,121.5000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2002,107.3000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2003,117.2000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2004,105.3000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2005,103.4000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2006,115.7000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2007,110.5000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2008,108.6000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2009,112.1000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2010,111.4000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2011,104.0000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2012,107.0000000000000
SOUTH_WEST_AUSTRALIAN_SHELF,43,PPY,2013,108.9000000000000
