LME,CODE,PROD,YEAR,MEAN
YELLOW_SEA,48,PPY,1998,662.2000000000001
YELLOW_SEA,48,PPY,1999,619.7000000000001
YELLOW_SEA,48,PPY,2000,639.8000000000000
YELLOW_SEA,48,PPY,2001,654.7000000000001
YELLOW_SEA,48,PPY,2002,602.9000000000000
YELLOW_SEA,48,PPY,2003,560.4000000000000
YELLOW_SEA,48,PPY,2004,613.4000000000000
YELLOW_SEA,48,PPY,2005,580.4000000000000
YELLOW_SEA,48,PPY,2006,699.3000000000000
YELLOW_SEA,48,PPY,2007,626.0000000000000
YELLOW_SEA,48,PPY,2008,590.9000000000000
YELLOW_SEA,48,PPY,2009,664.5000000000000
YELLOW_SEA,48,PPY,2010,640.8000000000000
YELLOW_SEA,48,PPY,2011,588.4000000000000
YELLOW_SEA,48,PPY,2012,675.9000000000000
YELLOW_SEA,48,PPY,2013,742.4000000000000
