LME code, year, PPY
30,1998.0,198.908823529
30,2013.0,173.841176471
65,1998.0,198.878676471
65,2013.0,149.471323529
61,1998.0,338.610294118
61,2013.0,220.902205882
32,1998.0,516.917647059
32,2013.0,382.557352941
23,1998.0,666.805147059
23,2013.0,842.907352941
20,1998.0,199.770588235
20,2013.0,198.016911765
34,1998.0,376.029411765
34,2013.0,288.570588235
55,1998.0,200.475
55,2013.0,154.6875
29,1998.0,395.534558824
29,2013.0,357.652941176
62,1998.0,546.653676471
62,2013.0,461.246323529
3,1998.0,145.163235294
3,2013.0,142.624264706
18,1998.0,186.7
18,2013.0,155.0875
66,1998.0,247.917647059
66,2013.0,188.932352941
27,1998.0,345.967647059
27,2013.0,300.144852941
12,1998.0,248.341176471
12,2013.0,215.921323529
24,1998.0,299.670588235
24,2013.0,243.841911765
64,1998.0,nan
64,2013.0,nan
1,1998.0,267.155882353
1,2013.0,203.419117647
16,1998.0,141.710294118
16,2013.0,124.052205882
41,1998.0,133.431617647
41,2013.0,125.918382353
47,1998.0,472.400735294
47,2013.0,396.999264706
56,1998.0,334.467647059
56,2013.0,230.632352941
60,1998.0,250.154411765
60,2013.0,164.270588235
19,1998.0,204.011029412
19,2013.0,160.188970588
28,1998.0,418.644852941
28,2013.0,365.430147059
2,1998.0,233.136029412
2,2013.0,208.776470588
4,1998.0,512.305147059
4,2013.0,491.494852941
5,1998.0,285.589705882
5,2013.0,254.572794118
35,1998.0,415.061029412
35,2013.0,386.463970588
63,1998.0,230.861764706
63,2013.0,234.638235294
13,1998.0,285.590441176
13,2013.0,275.472058824
25,1998.0,186.936764706
25,2013.0,174.588235294
59,1998.0,231.649264706
59,2013.0,207.938235294
38,1998.0,418.592647059
38,2013.0,341.757352941
10,1998.0,78.8267647059
10,2013.0,69.9057352941
58,1998.0,409.634558824
58,2013.0,223.590441176
49,1998.0,174.426470588
49,2013.0,136.761029412
9,1998.0,236.447794118
9,2013.0,211.139705882
57,1998.0,417.611029412
57,2013.0,286.788970588
26,1998.0,123.468382353
26,2013.0,109.044117647
46,1998.0,161.386764706
46,2013.0,148.400735294
39,1998.0,499.241911765
39,2013.0,450.858088235
17,1998.0,629.023529412
17,2013.0,617.488970588
40,1998.0,115.819117647
40,2013.0,112.018382353
7,1998.0,372.131617647
7,2013.0,358.655882353
54,1998.0,261.866176471
54,2013.0,195.433823529
22,1998.0,351.044852941
22,2013.0,300.042647059
45,1998.0,246.613970588
45,2013.0,219.786029412
21,1998.0,224.139705882
21,2013.0,153.672794118
51,1998.0,225.976470588
51,2013.0,158.873529412
11,1998.0,427.438235294
11,2013.0,386.349264706
99,1998.0,134.347794118
99,2013.0,130.189705882
14,1998.0,344.651470588
14,2013.0,356.711029412
33,1998.0,351.559558824
33,2013.0,307.452941176
8,1998.0,316.811764706
8,2013.0,304.838235294
50,1998.0,218.589705882
50,2013.0,195.372794118
52,1998.0,304.044117647
52,2013.0,270.993382353
31,1998.0,312.005147059
31,2013.0,242.782352941
15,1998.0,241.474264706
15,2013.0,223.838235294
36,1998.0,291.0875
36,2013.0,278.4875
42,1998.0,147.827205882
42,2013.0,136.872794118
6,1998.0,262.380147059
6,2013.0,212.207352941
43,1998.0,118.719852941
43,2013.0,105.517647059
37,1998.0,280.123529412
37,2013.0,234.426470588
53,1998.0,247.159558824
53,2013.0,221.765441176
44,1998.0,144.239705882
44,2013.0,136.772794118
48,1998.0,613.229411765
48,2013.0,656.983088235
