LME no,All data for 100km coast,Area_Rural km2,Area_Urban km2,Area_Total km2,Pop2010_Rural,Pop2010_Urban,Pop2010_Total,Pop2100_Rural,Pop2100_Urban,Pop2100_Total,NLDI06_LME,HDI09-13,
1,East Bering Sea,140753.3576,0,140753.3576,33447.00598,0,33447.00598,26428.60954,0,26428.60954,0.6022,0.909352656,
2,Gulf of Alaska,615544.5356,18501.66517,634046.2008,592079.3051,7881792.844,8473872.149,1048598.074,8156603.895,9205201.969,0.592943633,0.905463979,
3,California Current,236855.0119,49216.62481,286071.6367,1358644.4,38040067.93,39398712.33,2348488.74,51896155.4,54244644.14,0.576635755,0.902740371,
4,Gulf Of California,225286.3242,10040.8665,235327.1907,1843236.731,4429633.688,6272870.42,1546903.344,3627791.457,5174694.802,0.746651071,0.757688287,
5,Gulf Of Mexico,415240.1088,82806.52473,498046.6336,9748727.969,30774000.31,40522728.28,14849820.07,49580288.45,64430108.52,0.641581035,0.856324144,
6,Southeast U.S. Continental Shelf,105341.3611,33732.33004,139073.6911,1198868.038,12945164.53,14144032.57,1607709.638,27760743.03,29368452.66,0.54203567,0.908834969,
7,Northeast U.S.  Continental Shelf,80953.47635,184042.8419,264996.3182,5365459.435,54704254.68,60069714.11,9137826.713,64465037.87,73602864.59,0.567908736,0.909274967,
8,Scotian Shelf,114122.3991,16285.4615,130407.8606,453718.7279,1247229.246,1700947.974,230086.9894,683722.2794,913809.2688,0.674,0.898599667,
9,Newfoundland-Labrador Shelf,491374.0575,19301.77195,510675.8294,618704.4275,1916023.899,2534728.327,472499.6831,1371535.479,1844035.162,0.679410127,0.898599667,
10,Insular Pacific - Hawaiian,13418.92006,3275.665797,16694.58586,84631.41958,1282762.129,1367393.548,66159.65814,2503350.377,2569510.035,0.536453,0.909352656,
11,Pacific Central - American Coastal,549044.5538,36483.1587,585527.7125,24177700.69,26667100.6,50844801.29,50535112.76,47324624.81,97859737.56,0.825299961,0.675529992,
12,Caribbean Sea,718474.3278,75669.50494,794143.8327,32715222.96,51059120.67,83774343.63,58003582.3,68573334.07,126576916.4,0.749897916,0.718488369,
13,Humboldt Current,699836.2199,20593.50781,720429.7277,9307049.126,20808301.49,30115350.61,17393025.36,50933150.06,68326175.43,0.77530596,0.767404036,
14,Patagonian Shelf,432760.5291,16316.25657,449076.7857,1967682.363,18529744.75,20497427.11,7192812.609,31453397.12,38646209.73,0.705486155,0.798569332,
15,South Brazil Shelf,184432.0181,30463.12472,214895.1428,9124236.212,47649269.76,56773505.97,23800428.23,84447897.69,108248325.9,0.6805,0.739443612,
16,East Brazil Shelf,277394.2057,24898.49562,302292.7014,13070151.79,20940445.51,34010597.3,19666877.1,29407914.73,49074791.83,0.7592,0.739443612,
17,North Brazil Shelf,526213.1832,6083.599309,532296.7825,4546694.611,5018960.175,9565654.786,5985356.767,4879895.861,10865252.63,0.840630706,0.731089301,
18,Canadian Eastern Arctic - West Greenland,743614.2172,31.193339,743645.4105,56281.88849,13275,69556.88849,34038.46159,15940.16649,49978.62807,0.827443111,Insufficient data,
19,Iceland Shelf and Sea,89113.54169,1026.450498,90139.99219,93374.62997,230991.37,324366,150804.0675,253627.9099,404431.9774,0.8044,0.897800991,
20,Barents Sea,670877.4727,7502.541381,678380.0141,675670.1908,1353297.497,2028967.688,307030.923,794610.9771,1101641.9,0.848386675,0.819413425,
21,Norwegian Sea,86826.30299,4392.373511,91218.6765,387956.1715,452946.3477,840902.5192,257429.3004,328133.0767,585562.3772,0.8086,0.940359505,
22,North Sea,317877.8809,89036.96819,406914.8491,14293851.23,66257702.3,80551553.53,15802439.96,70961869.47,86764309.43,0.662520364,0.899101714,
23,Baltic Sea,506834.5927,63945.42317,570780.0159,10485608.4,24292782.1,34778390.5,6859108.283,18820027.81,25679136.1,0.693030505,0.865489507,
24,Celtic-Biscay Shelf,315767.4651,73845.15467,389612.6197,14088166.77,54457238.74,68545405.51,17684612.07,58910683.26,76595295.33,0.591278264,0.892415202,
25,Iberian Coastal ,139086.2681,28832.82202,167919.0901,6145973.779,15179695.01,21325668.79,3915869.489,10746172.45,14662041.94,0.708334421,0.84510591,
26,Mediterranean,1222636.811,212003.3066,1434640.118,84136623.74,152934773.8,237071397.5,128562772.2,225014869.3,353577641.5,0.730065098,0.780657997,
27,Canary Current,354105.3121,12746.28411,366851.5962,15866295.94,18825898.59,34692194.52,39951644.08,31962258.9,71913902.99,0.815723154,0.580991489,
28,Guinea Current,517235.1009,14043.85662,531278.9575,43182294.14,47346919.86,90529214,132039656.3,119864228.4,251903884.8,0.860909159,0.516020819,
29,Benguela Current,358074,6545,364619,1563200,8157025,9720225,11908854,12606264,24515118,0.867035904,0.575733335,
30,Agulhas Current,753993.5844,13807.93689,767801.5213,27073811.33,13935813.21,41009624.54,46812396.46,28205439.33,75017835.79,0.922793268,0.550458085,
31,Somali Coastal Current,299391.8245,1730.824836,301122.6494,10006487.02,5675443.723,15681930.74,57816834.35,34220335.75,92037170.1,0.909701509,Insufficient data,
32,Arabian Sea,1049806.596,70866.7421,1120673.338,95201115.22,98323217.22,193524332.4,164612205.4,152218078.6,316830284,0.774994487,0.619142436,
33,Red Sea,494845.7766,18948.52936,513794.306,15638050.53,12307620.59,27945671.12,70332904.58,33665544.53,103998449.1,0.813549301,0.647992579,
34,Bay of Bengal,816197.3011,58731.8083,874929.1094,220813261.1,119265673.4,340078934.6,333816233.1,167958159.3,501774392.4,0.804507664,0.6016371,
35,Gulf of Thailand,212119.2281,19941.84361,232061.0717,20688142.94,17537723.63,38225866.57,36643170.95,26059160.96,62702331.91,0.800357994,0.716781512,
36,South China Sea,703907.4034,61094.7032,765002.1066,128613861.5,143439723,272053584.5,123833769.7,89463500.51,213297270.2,0.80191565,0.700609031,
37,Sulu - Celebes Sea,317948.4411,10031.43499,327979.8761,55510216.5,26888942.26,82399158.76,78160910,38384273.25,116545183.3,0.861852649,0.657425211,
38,Indonesian Sea,726954.862,29198.29692,756153.1589,100132986.5,72143612.83,172276599.3,137086092.9,105613322.4,242699415.3,0.824164826,0.675276999,
39,North Australian Shelf,371944.7859,404.038373,372348.8243,44946.96427,106330.8334,151277.7976,27927.24896,12390.31734,40317.56631,0.7033,0.94233774,
40,Northeast Australian Shelf,230532.3764,2796.278817,233328.6552,274961.4544,589169.3146,864130.7689,169187.0697,230360.5898,399547.6596,0.734037234,0.920179128,
41,East Central Australian Shelf,135576.0892,12851.97369,148428.0629,1688447.163,7436283.459,9124730.622,3329356.717,9553833.128,12883189.84,0.6148,0.94233774,
42,Southeast  Australian Shelf,205317.8787,8921.900261,214239.779,1144107.86,5561748.294,6705856.155,2367812.564,5790716.271,8158528.835,0.6481,0.94233774,
43,Southwest Australian Shelf,311137.0493,2693.897134,313830.9465,331431.6395,1287403.468,1618835.107,681326.1972,1386167.877,2067494.074,0.6145,0.94233774,
44,West -  Central Australian Shelf,137013.4983,3022.573758,140036.0721,318685.9244,1379527.936,1698213.86,570334.2221,1485411.141,2055745.363,0.625791,0.94233774,
45,Northwest Australian Shelf,213736.1958,62.268472,213798.4643,48643.36228,12727.37395,61370.73623,10055.86671,2803.899906,12859.76662,0.625791,0.94233774,
46,New Zealand Shelf,250549.5189,8046.268744,258595.7877,849697.5849,3429717.68,4279415.265,1641486.98,4080398.384,5721885.364,0.7779,0.920540729,
47,East China Sea,159437.2145,41036.68077,200473.8953,40489958.03,96108058.77,136598016.8,50128741.7,116091867.8,166220609.5,0.706434047,0.740093102,
48,Yellow Sea,272079.884,52553.93132,324633.8154,63459004.41,106764673.2,170223677.6,89927819.08,136006373.9,225934193,0.683789002,0.751568384,
49,Kuroshio,178907.0893,82201.09926,261108.1885,19312463.76,92018718.09,111331181.8,14184764.81,76859686.69,91044451.51,0.661017203,0.884760828,
50,Sea of Japan / East Sea,446421.6221,64672.32699,511093.9491,20687129.54,52469825.15,73156954.69,14794885.75,40901173.81,55696059.56,0.721823488,0.882318467,
51,Oyashio Current,34144.19598,3012.036967,37156.23295,620316.3438,378701.2266,999017.5704,255920.9708,156455.5895,412376.5603,0.705871899,0.883169241,
52,Sea of Okhotsk,580126.4706,5151.287544,585277.7582,886897.2196,737328.1765,1624225.396,372409.4047,308682.6848,681092.0895,0.761239655,0.841803982,
53,West Bering,232053.2864,774,232827.2864,96838.45938,213886.5297,310724.9891,47987.32146,148185.5396,196172.861,0.806275,0.781818424,
54,Northern Bering -  Chukchi Seas,493724.669,1.336049,493726.005,56489.53885,0.016754,56489.55561,45969.14493,0.016789,45969.16172,0.708770816,0.85573163,
55,Beaufort Sea,974274.7143,3.031332,974277.7456,17986.74684,55.456771,18042.20362,7919.25075,19.175959,7938.426709,0.684191558,0.902708047,
56,East Siberian Sea,246306.2837,5.552417,246311.8361,34150.74681,0.687458,34151.43427,27382.27896,0.594889,27382.87385,0.955444,0.781818424,
57,Laptev Sea,616271.895,7.990215,616279.8852,31011.88653,1.05766,31012.94419,37886.92078,1.124616,37888.0454,0.8232,0.781818424,
58,Kara Sea,674451.1079,1059.821657,675510.9296,111075.3653,165792.4603,276867.8256,72104.61887,63250.1855,135354.8044,0.8522,0.781818424,
59,Greenland Sea,141510.751,0,141510.751,102.333321,0,102.333321,3588.458142,0,3588.458142,0.650489,no data,
60,Faroe Plateau,1087.284007,320.921089,1408.205096,26177.30541,22685.69459,48863,20116.79407,23551.28165,43668.07572,0.846237,no data,
61,Antarctic,,,,No data,,,,,,no data,no data,
62,Black Sea,362093.6074,23752.42595,385846.0333,12588783.75,16897768.87,29486552.62,7314617.168,10808422.2,18123039.37,0.792886287,0.760453106,
63,Hudson Bay Complex,938394.07,16.57108,938410.6411,43501.73828,527.698372,44029.43665,20771.48938,203.158313,20974.64769,0.683,0.898599667,
64,Central Arctic,,,,No data,,,,,,no data,no data,
65,Aleutian Is,460.385525,0,460.385525,287.370842,0,287.370842,4466.266392,0,4466.266392,0.60221,0.909352656,
66,Canadian High Arctic - North Greenland,442030.7756,0,442030.7756,289.36155,0,289.36155,138.434932,0,138.434932,0.82128082,0.898599667,
