LME NUM;LME NAME;SHELF AREA (km2);06-10 AVE ANNUAL CATCH (TONNES);06-10 AVE ANNUAL LANDED VALUE (2005 USD);06-10 average annual catch/ km2 shelf (tonnes/km2);06-10 average annual landed value/km2 shelf (2005 USD);AVE SHARE IN CATCH OF  COASTAL COUNTRIES;AVE SHARE IN LANDED VALUE BY LME COASTAL COUNTRIES;06-10 AVERAGE ANNUAL TOTAL CATCH-BASED STOCK BIOMASS (TONNES);AVERAGE ANNUAL STOCK BIOMASS/SHELF AREA (TONNES/ KM2);COLLAPSED &OVEREXPLOITED STOCKS (% OF TOTAL CATCH-BASED STOCK BIOMASS;EXPLOITED STOCKS (% TOTAL CATCH-BASED STOCK BIOMASS);Coastal Fishing  countries (2006-2010);Non coastal fishing countries (2006-10)
1;East Bering Sea;808920.57;924128.864;1071882140;1.142422258;1325.077122;0.623269423;0.396810211;793922.462;0.981459109;0.395187101;0.539579227;US;Canada, China, Hong Kong,, Japan, Korea (South), Philippines, Russia, Taiwan
2;Gulf of Alaska;276902.31;720219.892;581057644.4;2.600989107;2098.42108;0.999791539;0.999653239;731169.72;2.640533118;0.384856649;0.57823574;Canada, USA;Japan, Russia, Taiwan
3;California Current;108358.46;682464.814;503851241.5;6.298214408;4649.856057;0.982888187;0.938650441;698237.258;6.443772438;0.127623568;0.735057117;Mexico, USA;American Samoa,Canada, China, Colombia, Cook Is, Costa Rica, Ecuador, El Salvador, France, French Polynesia, Guatemala, Honduras, Japan, Kiribati, Korea South, Nicaragua, Niue, Panama, Samoa, Spain, Taiwan, Tokelau, Tonga, Vanuatu, Venezuela
4;Gulf of California;72646.29;197968.842;179589854.9;2.725106017;2472.113234;1;0.999999703;206732.784;2.845744552;0.069401958;0.883776276;Mexico;Other countries
5;Gulf of Mexico;554182.55;748326.042;1385950632;1.35032408;2500.891867;0.995459062;0.9942;665539.59;1.200939275;0.696223138;0.298473802;Mexico, USA;Bahamas, Barbados, Belize, Bermuda, Brazil, Cayman Is., Colombia, Costa Rica, Cuba, Grenada, Guatemala, Honduras, Japan, Korea South, Mexico, Netherlands, Nicaragua, Panama, Portugal, Puerto Rico, Saint Vincent, Spain, Taiwan, Trinidad & Tobago, Turks & Caicos, USVI, Vanuatu, Venezuela
6;Southeast US Continental Shelf;125638.58;41936.368;153191262.8;0.333785753;1219.301132;1;1;44830.784;0.35682339;0.37379953;0.595950541;Bahamas, USA;None
7;Northeast US Continental Shelf;264238.4;800044.284;2868916798;3.027736635;10857.30461;1;1;804807.25;3.045761895;0.511597352;0.382446102;Canada, USA;None
8;Scotian Shelf;286380.42;312889.946;484136350.5;1.092567523;1690.535793;0.99914336;0.999323397;322153.118;1.124913212;0.490096539;0.398678525;Canada;Saint Pierre-Miquelon, USA
9;Newfoundland-Labrador Shelf;378309.96;324205.352;965508104.4;0.85698339;2552.161472;0.641659148;0.2754993;315635.32;0.834329924;0.316843483;0.645202609;Canada, Saint Pierre and Miquelon;Cuba, Estonia, Faeroe Is., Greenland, Iceland, Japan, Latvia, Lithuania, Norway, Poland,Portugal, Russia, Spain, Ukraine, USA
10;Insular Pacific-Hawaiian;11121.09;6682.628;21438231.18;0.600896855;1927.70953;1;0.999987123;7407.12;0.666042627;0.572007474;0.326991327;USA;None
