LME no;LME;LME Climate Threat Index 2010;Maximum sea level rise 2100, m RCP 85;2100 SEA LEVEL RISE THREAT INDEX SSP1;2100 SEA LEVEL RISE THREAT  INDEX SSP3;Contemporary Threat Index
1;East Bering Sea;0.42104062;0.74596661;0.21270000;0.43363383;0.234757039255
2;Gulf of Alaska;0.51163691;0.80519909;0.25540000;0.51768785;0.265533378252
3;California Current;0.54228581;0.79256588;0.28050000;0.55916409;0.292293356714
4;Gulf Of California;0.65037608;0.73914713;0.31980000;0.57176917;0.383684807610
5;Gulf Of Mexico;0.64379826;0.83224428;0.31030000;0.58467339;0.338653876227
6;Southeast U.S. Continental Shelf;0.50510978;0.86858708;0.27770000;0.56266277;0.291240304543
7;Northeast U.S.  Continental Shelf;0.52067790;0.94487822;0.29010000;0.58783365;0.296677045121
8;Scotian Shelf;0.39481364;0.93696707;0.23680000;0.47649094;0.245659679068
9;Newfoundland-Labrador Shelf;0.39880409;0.86053377;0.23590000;0.47456445;0.246491105054
10;Insular Pacific - Hawaiian;0.47653746;0.85504037;0.26090000;0.52945525;0.261772717741
11;Pacific Central - American Coastal;0.81574068;0.77927262;0.39780000;0.65828641;0.439793420776
12;Caribbean Sea;0.83885990;0.81973529;0.39440000;0.64249183;0.480674879253
13;Humboldt Current;0.61002131;0.74941409;0.31860000;0.58104345;0.363637289314
14;Patagonian Shelf;0.50201367;0.78847343;0.34620000;0.61229445;0.327011137642
15;South Brazil Shelf;0.66271315;0.80435920;0.41470000;0.66266600;0.389782127328
16;East Brazil Shelf;0.65619924;0.80630791;0.40740000;0.65209246;0.379273127953
17;North Brazil Shelf;0.72504141;0.79793310;0.43360000;0.63947670;0.395711024514
18;Canadian Eastern Arctic - West Greenland;0.39404362;0.55246103;;;0.266115360895
19;Greenland Sea;;0.57977653;;;
20;Barents Sea;0.61927053;0.70746088;0.31360000;0.50833738;0.342286594716741
21;Norwegian Sea;0.00000000;0.67401439;0.18990000;0.43977031;0.201320790936072
22;North Sea;0.55578226;0.78028089;0.30950000;0.58118897;0.327965488597
23;Baltic Sea;0.63295935;0.69684368;0.28710000;0.53004077;0.347626357980
24;Celtic-Biscay Shelf;0.55173989;0.76152682;0.31840000;0.57947826;0.328638530375
25;Iberian Coastal ;0.63704709;0.74428290;0.33280000;0.57170094;0.397818521184
