LME_number,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,5.251168,4.977268,4.882722,4.6530741,4.5275587,4.5942808,4.6492895,4.399529,4.3775501,4.5718501,5.2017416,4.5498232,5.0208363,4.758637,3.8869965,3.9439538,4.454915,4.703204,4.3201732,4.0897134,5.0841287,5.0860689,5.4068427,4.7719395,5.4197876,4.6522258,5.093131,5.1050019,4.7662204,5.0068874,5.0914849,4.6306668,4.8868253,4.8549949,4.9833842,4.7162422,5.2324317,4.9120417,4.8935416,5.2757233,5.4808924,5.0244803,4.4964076,4.6892987,4.9182211,5.1117952,5.4177404,5.3493691,5.3210709,4.9326858,4.6706151,4.5615259,4.5706613,4.5928311,4.6295402,4.1785423
2,9.9237596,10.180532,9.6888633,9.4173419,9.6837259,9.4727131,10.004845,9.0404613,8.8962377,8.9390749,9.5048588,9.2237035,8.8258,9.2273702,8.183551,8.3850702,8.5911363,9.107022,8.3814138,8.6697741,9.5284067,9.2646169,9.5070858,9.2058822,9.7668792,8.8983978,9.8681653,9.6507278,9.005912,9.4946905,9.5550017,9.1143226,9.4161353,9.4663842,9.2326643,9.73793,9.8441941,9.7375736,9.53834,9.5294627,10.239097,9.9053342,8.8524034,9.2424962,9.1373842,9.5698894,9.9882135,10.008611,10.076056,9.3583998,9.033699,8.5780991,8.9722494,9.2970289,9.0590048,8.7690193
3,17.620925,18.270681,17.984983,17.191229,16.990685,16.666363,17.468548,16.619944,16.873546,16.874786,17.203159,17.274359,16.86118,16.994816,16.330622,16.760127,16.583914,16.651543,16.184511,16.845851,17.208231,17.449956,17.237477,17.302538,17.477205,17.073808,17.91053,17.467913,17.140919,17.440905,17.27682,16.944693,17.059637,17.609243,16.876069,18.215341,17.70758,17.507035,17.644496,17.678916,18.327609,17.653337,16.484455,17.037877,16.956577,16.992791,17.496899,17.503723,17.42414,17.297867,16.99908,16.621449,17.076429,16.691984,16.610511,16.932267
4,23.901433,24.699027,24.32502,23.183991,23.287511,23.362459,24.073989,23.023573,23.637467,23.463502,23.458945,23.538671,23.34711,23.227555,22.930778,24.08941,22.733853,22.877616,22.377148,23.373751,23.583955,23.478673,22.571462,23.178703,23.31839,23.833582,25.274708,24.140608,23.575084,23.937695,24.083781,23.378627,23.64616,24.657925,24.041567,25.517791,24.818426,24.766664,24.615512,24.67086,25.474662,24.868011,23.580881,24.092097,23.972555,24.380957,24.511007,24.483151,24.107019,24.493691,24.126272,23.893486,24.629219,23.915896,23.773588,24.374742
5,26.396739,26.124499,26.039206,25.96693,25.888645,26.214198,26.034096,25.725661,25.99346,25.726633,25.942438,25.832197,26.031867,25.649053,26.105054,26.456972,26.010465,26.014536,26.037635,25.618567,25.926329,25.929818,25.807856,26.041322,25.868678,26.22447,26.003817,25.574667,26.001999,26.148647,25.904596,25.587884,26.198203,26.199168,26.323061,25.804487,25.966647,26.066763,26.216815,25.789937,26.220947,26.081258,26.250054,26.261476,26.137324,26.310777,26.097826,26.251014,26.158713,26.28607,26.208216,25.990575,26.145758,25.697557,25.889754,26.315104
6,25.391088,25.079474,25.428511,25.231764,25.585404,25.523006,25.315418,25.285182,25.247407,24.801075,25.025391,25.115641,24.991731,24.713063,25.130205,25.139471,25.292123,25.219502,25.491557,24.622039,24.87105,24.874269,24.863651,25.014211,24.714433,25.080186,24.760749,24.767131,25.118672,25.191299,24.862804,24.466373,25.031431,25.217683,25.289364,25.108746,24.991023,25.116603,25.322865,24.804136,25.350318,25.336226,25.268646,25.006416,24.92576,25.422771,25.165191,24.91115,24.889093,24.888532,25.218826,24.777423,24.733907,24.670169,24.748988,25.001379
7,13.037216,12.109957,12.349713,12.422928,11.961773,12.083231,11.937564,11.308335,10.916186,11.139065,11.12531,11.776892,12.27056,12.128089,12.06459,12.158059,12.745934,12.932743,12.763626,12.716941,12.453469,12.102938,12.784357,12.54576,12.124439,12.283108,12.933633,12.72031,13.141112,12.927275,12.344672,12.076723,12.72246,13.006782,13.044884,12.291265,12.399007,12.790462,13.175705,12.03237,12.378054,12.715828,13.574508,13.169035,13.079336,13.425836,12.421383,12.188437,12.483034,13.301809,12.74024,13.049493,13.089853,13.427399,13.412253,14.621412
8,7.3029908,7.9079852,7.224488,8.1000273,7.6213637,7.2488944,7.3204727,6.7731866,6.6479012,7.1558501,7.6820786,7.732317,7.9123093,8.0699082,7.85725,7.3697262,7.679329,7.4941706,7.5091769,7.9102072,7.6470942,7.7540561,8.1539984,7.7163471,8.2095613,7.6778885,8.5618374,8.3079446,7.5572559,7.4332517,7.8121246,7.6329153,8.0441735,7.8425486,7.8359696,7.9660097,8.0281722,8.1202082,8.0313802,7.7967675,7.5323786,8.1365295,8.9988872,8.8803966,8.5655901,8.3300838,8.5693662,8.0584017,8.5868473,9.0345593,8.3989711,8.5064762,8.3556576,8.9146316,8.615767,10.015835
9,4.4692006,5.256599,4.6112116,5.3349078,5.2233179,4.9770026,4.9347879,4.6218518,4.8732588,5.3788131,5.8404744,4.784133,5.265414,5.3030207,5.0849773,4.5095567,4.8926974,4.6682577,4.808684,4.9860746,5.0149592,5.0572479,5.5243066,4.9908766,5.8762645,4.9727857,5.5630495,5.1068999,4.4594223,4.8988984,5.3110791,5.5587969,5.429382,4.9954875,4.5415701,4.7737437,4.8549719,5.0212391,5.0693131,5.5016399,5.1401145,5.7702343,5.9339635,6.0511747,5.6975701,5.1793184,5.6751548,5.6867864,6.0507927,6.4038113,5.5910618,5.8990594,5.3482543,5.9406253,6.0905834,6.7625991
10,24.960406,24.710576,25.041389,25.18102,25.111258,25.045975,25.036081,24.909201,24.733385,24.978278,25.304543,25.322432,25.01839,25.063558,24.923591,24.711255,24.776758,25.28086,24.917225,24.766572,24.867474,24.734518,24.699378,24.603613,24.904321,24.521991,24.463254,25.291736,24.634329,24.760751,24.675391,25.235224,25.009591,24.786239,24.764786,24.623685,24.76558,24.872481,25.028268,25.145626,24.978003,24.754138,25.090553,25.214947,25.205461,25.003863,25.091642,25.192039,25.090531,25.066483,25.217961,25.233816,25.05367,24.970079,25.233371,25.009601
11,27.718669,27.902498,27.692486,27.128601,27.26153,27.129775,27.500056,26.983924,27.39182,27.287785,26.970574,26.920114,27.542771,26.95912,26.68939,27.677534,26.99901,26.868261,26.654286,27.120429,27.141162,27.115934,27.003661,27.132968,26.877247,27.494704,28.229163,27.05612,26.798112,27.189444,27.726012,27.011625,26.967933,27.566617,27.532788,27.76398,27.622947,27.510479,27.5103,27.277481,28.158319,28.013708,27.092256,27.189226,27.237669,27.589629,27.571762,27.596337,27.363619,27.566515,27.340925,27.304592,27.571507,27.381259,27.200164,27.54979
12,27.777962,28.205712,27.897512,28.200583,27.950724,27.973693,28.012714,27.866501,27.624152,27.793091,27.632913,27.701424,28.224709,27.840321,27.513346,27.68788,27.773,27.377588,27.413849,27.364749,27.679445,27.747016,27.764386,27.876899,27.920454,27.599887,27.905578,27.458419,27.375036,27.408127,28.031631,27.748471,27.472485,27.702561,27.593611,27.632127,27.737292,27.646767,27.983918,27.746847,27.904228,28.190672,27.889182,27.645082,27.839679,27.880228,28.080938,28.007387,28.157598,28.024955,28.038338,27.842893,27.871322,28.298153,28.025661,27.997609
13,16.708502,16.530433,16.174808,16.459083,16.255118,15.970727,16.207011,15.73331,16.560113,15.801422,15.557649,15.88829,16.342898,15.688754,15.443441,16.61965,15.563431,15.652165,15.867992,16.279444,16.329047,16.486088,16.709641,16.681594,16.63454,16.715795,17.266737,16.181261,16.21801,16.159647,16.780055,15.982964,16.235821,15.97105,16.190741,16.618137,16.626256,16.471371,16.441041,16.287192,17.57761,17.103443,16.136702,16.258622,16.159353,16.381647,16.280874,16.320666,16.212706,16.539931,15.807408,16.341587,16.401638,15.952526,15.947725,16.47319
14,10.641469,10.423523,10.31474,10.787322,10.288369,11.34391,10.838354,10.740892,10.80158,10.752678,10.549894,10.970074,10.892441,10.933573,10.387026,10.824627,10.953549,10.876701,10.88478,10.340594,10.671042,10.677051,10.992995,10.982077,10.869115,10.880954,11.018569,10.596018,10.941871,10.515199,10.646754,10.451451,11.199001,10.739785,10.640292,10.55362,10.959083,10.82217,10.537863,10.811468,10.900715,11.229437,11.019127,10.972035,10.733428,10.685658,10.585397,10.983972,10.837974,10.773567,10.49916,10.589175,10.756747,10.428632,10.787091,10.899943
15,21.858904,22.513605,22.283573,21.989387,22.480348,21.663043,21.959922,21.406991,21.991676,22.150093,22.161789,21.495396,21.801618,21.747824,21.737878,22.119506,22.158901,21.888767,21.719241,21.89461,22.554065,22.081367,21.47683,22.014056,21.655153,21.86637,22.368336,22.74876,22.262637,22.879527,22.786108,22.268779,22.442136,22.502491,22.626779,22.834776,22.842657,22.763099,22.659928,22.695322,22.552726,22.814963,22.45296,22.481189,23.153902,23.083737,22.9639,22.574304,22.994194,22.793484,22.824101,22.478037,22.76911,22.770039,22.248804,22.71367
16,26.720177,26.769977,26.896331,26.710596,26.694153,26.699108,26.687675,26.793884,26.850352,26.773942,26.700363,26.387306,26.986548,26.661745,26.72509,26.795021,27.324857,26.879621,26.775791,26.558853,26.805982,26.744082,26.632428,26.565876,26.297108,26.429897,27.085803,27.25008,26.872673,27.089303,27.364566,27.293085,27.146919,27.069332,26.786806,26.65929,26.92775,27.06959,27.032771,27.163557,26.884436,27.52425,27.137321,27.180869,27.184704,27.193571,27.436563,27.138208,27.203317,27.18841,27.070595,27.117015,27.325599,27.464955,27.081386,26.867413
17,27.763103,28.108996,27.809762,27.800114,27.729687,28.04274,27.951329,27.901992,27.686618,27.971717,27.732107,27.766754,28.138524,27.949218,27.44052,27.508972,27.778998,27.404178,27.459777,27.294054,27.530177,27.521597,27.761668,27.709843,27.677012,27.441811,27.776352,27.556004,27.539085,27.446499,28.015413,28.002293,27.682681,27.80648,27.549685,27.546068,27.693263,27.769296,27.880963,28.016323,27.890504,28.347131,28.001189,27.915382,27.87818,27.906848,28.08955,28.129052,28.300099,28.123319,27.995266,28.060912,28.014004,28.622325,28.250775,28.01245
18,0.39738124,0.40326029,0.18295677,0.56043568,0.50015185,0.44697361,0.38667151,0.30508623,0.3488542,0.4229591,0.14929032,0.19294015,0.16451022,-0.094395476,0.036788764,-0.026452533,0.17719469,0.312205,0.31291259,0.14945619,0.41266438,0.21186462,0.4620971,0.51442802,0.46760717,0.093459682,-0.20503645,-0.029378106,0.62883042,0.30168705,0.46349981,0.57800547,0.23476808,0.23683793,0.4097271,0.25247157,0.20302051,0.44890058,0.38510171,0.26098606,0.52773935,0.67735611,0.416907,0.47734927,0.72597274,0.65241878,0.86698861,0.86048921,0.74008739,0.81814339,0.69650632,0.62809222,0.62443167,1.0019414,0.62249217,0.74816438
19,1.7544454,1.7258092,1.4664788,1.74436,1.7766725,1.3312809,1.2392293,1.1463684,1.1208829,1.290266,1.109173,0.99155567,0.83494395,0.93108296,0.87800364,1.4940577,1.4691511,1.5119229,1.0737022,1.3641324,1.0790516,1.3594321,1.555636,1.5608411,1.317896,1.2446833,1.541033,1.6165669,1.6797773,1.463425,1.5870992,1.4100642,1.3273408,1.7662181,1.7721893,1.5643282,1.6288997,1.7194867,1.5393407,1.5745464,1.2538231,1.5905697,1.7206382,1.6317814,1.6189015,1.8242933,2.0468469,1.9988076,1.7892497,1.7221637,1.7624624,1.7906268,1.9632447,1.7564969,1.4682845,1.5919404
20,2.2790585,2.0026014,2.2533607,2.1376607,2.2808382,1.9319107,2.0474643,2.084124,1.9552458,1.5928891,2.0448251,1.4934728,1.7514705,2.1043494,1.9134721,2.1614712,2.354364,2.0961775,2.0055846,2.2008333,1.797627,1.3152404,1.3893019,1.4687321,1.3983659,1.2698135,1.8430326,2.13175,1.7843432,1.5566877,1.3827063,1.5433864,1.8328021,2.2888903,1.899847,1.8069506,1.7005179,1.7271375,1.9742594,1.6680612,1.5560582,1.4892484,1.6980875,2.118785,1.8833942,1.8029576,1.5116123,1.9819346,2.0282377,2.2099934,2.1698886,2.1639906,2.2032255,1.9010993,2.1359276,2.2938197
21,6.9064759,6.8224575,6.9807122,7.4667856,7.4098473,6.8173502,6.9218413,6.6649746,6.4882075,6.4241863,6.5927546,6.3225358,6.8674397,6.5320616,6.702302,7.2315627,6.9011253,7.3272157,6.6769489,6.882545,6.5161001,6.4446871,6.3847953,6.8809524,6.3901678,6.3522165,6.5857176,6.7567323,6.7708834,6.6380515,6.7480146,6.9410791,6.7943772,7.4177413,7.1262228,6.9388729,6.8039378,6.7167671,6.5726255,6.5787325,6.6717194,7.1370429,7.1594364,6.9742795,6.8577065,7.4656708,7.5625973,7.5210805,7.2241038,7.2839976,7.2752399,7.5082486,7.5658276,7.3564936,7.4205706,7.1723208
22,10.016799,9.8084221,10.609131,10.173483,10.320594,9.4399707,9.3588391,9.7924878,9.529637,9.6826455,10.01841,10.051936,9.8769755,9.5716528,10.086922,9.9354206,10.025021,10.144714,10.163642,10.15809,9.7492487,9.6097029,9.1147446,9.7628972,9.5889635,9.884738,9.7917122,9.8047398,9.6023682,9.2868631,9.4608961,10.11542,10.560229,10.593706,10.110187,10.339654,9.6834546,10.0644,10.411083,9.56557,10.507993,10.391928,10.7023,10.419895,10.549588,11.019975,11.00979,10.706463,10.596148,10.994442,10.881992,10.813122,10.774483,10.198951,10.46688,10.319949
23,7.6635333,7.6136202,8.544956,7.9902589,8.5275225,7.4202941,7.8092649,7.7993041,7.562456,7.7081236,8.4068591,8.2686522,7.928141,7.6796221,7.7623427,7.9893849,8.560576,8.2715261,8.8751692,7.5299003,7.4984319,7.2500523,6.8807807,7.2774005,7.3067774,7.752926,7.9156627,8.0650505,6.5535994,7.3038059,6.4049567,8.0659963,8.7440501,8.7752078,8.1794062,8.6816685,7.9401824,8.1737191,8.3948237,7.7634057,8.5530919,8.0496646,8.8541549,8.6431372,8.8530091,8.9850193,8.3800413,8.3869942,8.749385,8.906721,8.8864709,9.330637,8.5233858,8.0851241,8.4393721,8.4755625
24,13.090179,12.922013,13.46645,13.105223,13.055181,12.650237,12.269624,12.876305,12.546159,12.924571,12.678112,12.979592,12.952974,12.760395,12.99661,12.334824,12.823005,12.371785,12.804887,12.867832,12.545791,12.708106,12.546475,12.650018,12.766994,12.896348,12.843144,12.899139,12.661875,12.210896,12.725841,12.698823,13.427738,13.297463,12.66294,12.631871,12.602768,12.630661,13.333645,12.885611,13.354605,13.218124,13.214344,12.915192,13.267763,13.197326,13.465273,13.284926,13.370578,13.50049,13.567127,13.257054,13.213188,13.127293,13.148851,13.069608
25,16.490768,16.386449,16.630123,16.484325,16.83197,16.623898,16.163347,16.671026,16.362318,16.535218,16.430684,16.546577,16.384322,16.391116,16.241871,15.697219,16.30544,15.903061,16.337225,16.30376,16.011301,16.271717,16.315714,16.511879,16.425572,16.604785,16.584662,16.3438,16.758093,16.261002,16.87648,16.719464,17.208351,17.112712,16.4635,16.50589,16.413408,16.562622,17.079126,16.798079,17.431867,17.140457,16.988988,16.851689,16.976799,16.873374,17.182205,17.097859,17.098393,17.450368,17.061988,17.11029,16.973814,16.975853,17.232449,17.090742
26,19.624229,19.727419,19.649948,19.971094,19.955108,19.990618,19.97991,19.940929,19.607827,19.891929,19.824193,19.852393,19.622956,19.62582,19.550042,19.268906,19.501367,19.32046,19.332615,19.25056,19.423775,19.071425,19.622083,19.20496,19.39921,19.772936,19.556178,19.224514,19.686238,19.838888,19.623042,19.909155,19.699117,20.051156,19.574595,19.569155,19.746255,20.200848,19.793377,19.698416,19.901613,19.99345,20.273231,20.101054,20.218115,20.099961,20.490763,20.032592,20.070131,20.263923,20.090574,20.036896,20.284608,20.240608,20.542537,20.605664
27,21.5355,21.91633,21.376204,21.593678,22.073627,21.983548,21.779237,21.791569,21.478821,21.987919,21.591522,21.48402,22.257435,21.825952,21.39823,21.039487,21.457439,21.102354,21.308917,21.571131,21.444627,21.770407,21.813579,21.970244,21.829341,21.757416,21.89853,21.583201,21.740078,21.285185,22.210204,21.906702,21.989833,22.166778,21.638828,21.460739,21.370431,21.408878,22.186725,22.08747,22.407232,22.185138,21.682655,21.702813,22.218875,21.934657,22.148386,22.196382,22.255677,22.374314,21.856527,22.076275,21.949102,22.716609,22.250566,22.080508
28,26.902087,26.915887,27.232421,27.259093,27.233844,27.186674,27.654322,26.890825,26.944677,27.418215,26.961904,27.195572,27.271805,27.317449,26.971201,27.011493,27.628502,26.991144,26.984105,26.491684,27.039094,26.858324,27.197238,27.004136,27.206706,26.834595,27.128378,27.688016,27.083343,27.034628,27.661158,27.717299,27.483,27.325324,27.372524,27.107337,27.413305,27.327599,27.687215,27.416469,27.312601,27.962211,27.622417,27.473217,27.4725,27.496494,27.718741,27.577219,27.612056,27.697886,27.777323,27.846503,27.426018,27.930312,27.510498,27.357289
29,20.438574,19.961243,20.346957,20.494034,20.546142,20.58758,21.330225,20.387941,20.670346,20.6553,20.34935,20.610402,20.297816,20.254797,20.193135,20.820733,21.053465,20.709564,20.447125,20.269216,20.415462,20.242336,20.27333,20.364231,20.241383,20.024156,20.103311,21.150712,20.543805,20.733558,20.6321,20.826236,20.708444,20.503044,20.655133,20.071658,20.789208,20.625663,20.918408,20.622991,20.415288,20.806474,20.920031,20.674164,20.762764,20.688346,20.878277,20.466729,20.680779,20.69744,20.896479,20.705397,20.755394,20.627146,20.576334,20.509074
30,24.967672,25.055378,24.990237,24.804908,25.201246,24.962136,24.77232,24.636658,24.421441,24.917086,25.023337,24.446846,25.26435,24.982815,24.853133,24.945846,25.089433,25.096219,24.880708,25.039254,25.365115,25.406791,25.169036,25.239559,25.084005,25.106495,25.645535,25.09337,25.210365,25.167814,25.455813,25.446968,25.159068,25.333019,25.408499,25.5319,25.430605,25.000195,25.301136,25.273215,25.295869,25.578473,25.424932,25.359534,25.361061,25.370655,25.451268,25.456221,25.538022,25.493733,25.579102,25.237467,25.389705,25.726823,25.52894,25.433757
31,26.929001,26.9835,26.93945,26.848978,27.083142,27.011916,26.833773,26.654606,26.654796,27.033157,26.758544,26.84111,27.223929,27.054791,26.675267,27.419063,27.284437,27.110842,27.007426,26.998331,27.283752,27.144793,27.146444,27.106816,27.038499,27.129237,27.563138,26.81172,26.820088,27.031967,27.526756,27.412213,27.138851,27.391693,27.20089,27.231126,27.19684,26.958124,27.19549,26.954105,27.343731,27.716366,27.239303,27.201219,27.291231,27.336124,27.360194,27.224341,27.297084,27.328762,27.477114,27.212121,27.443652,27.586848,27.452082,27.399667
32,27.324245,27.397153,27.27368,27.349829,27.256273,27.259977,27.497751,27.184659,27.270728,27.426453,27.25951,27.246117,27.641975,27.489981,27.062172,27.546664,27.346506,27.249901,26.934486,27.3078,27.535825,27.170274,27.428212,27.51573,27.454361,27.434969,27.623138,27.223538,27.213358,27.462972,27.830832,27.846676,27.36074,27.551843,27.493401,27.419241,27.546452,27.418051,27.539084,27.36631,27.694465,27.901737,27.53088,27.530717,27.623535,27.804751,27.861358,27.602825,27.636023,27.635933,27.698971,27.495472,27.825023,27.969404,27.584501,27.656622
33,28.03763,28.076387,27.727309,27.978009,27.64651,28.034369,28.256708,27.722407,27.726768,27.965755,27.71463,28.041208,28.554064,28.309465,28.142837,28.135173,28.305961,28.08382,27.460072,27.726682,27.619434,27.699174,27.939052,27.842184,27.701339,27.61491,27.569343,27.744452,27.734687,27.922258,27.876634,28.213394,27.754398,27.770203,27.815639,27.617346,27.946652,28.248248,28.215967,28.032946,27.926679,28.294607,28.498458,28.23868,28.400975,28.344832,28.385778,28.183907,28.290693,28.239154,28.171423,28.090665,28.286242,28.736193,28.080042,28.311945
34,28.297297,28.463687,28.410387,28.297809,27.970622,28.050352,28.117663,28.203243,28.152302,28.418562,28.260871,28.152435,28.648576,28.431725,28.144991,28.391486,28.64714,28.235403,28.084965,28.216578,28.403624,28.279362,28.696458,28.543019,28.244819,28.336833,28.737866,28.314197,28.321231,28.379466,28.810551,28.874797,28.350462,28.582172,28.631468,28.437704,28.512518,28.345375,28.55973,28.478802,28.589851,28.991195,28.510866,28.465287,28.700758,28.751008,28.753094,28.664934,28.716189,28.620692,28.620382,28.62153,28.731012,28.890704,28.527137,28.67801
35,28.544077,28.740914,28.778246,28.757019,28.410768,28.335839,28.21336,28.514977,28.439232,29.020319,28.519371,28.53576,28.994093,28.715481,28.29231,28.534273,29.011039,28.342442,28.395067,28.183516,28.3622,28.622557,28.852432,28.802633,28.797172,28.694817,29.06579,28.430501,28.698099,28.511907,29.165494,29.057208,28.614237,28.932221,28.795212,28.821762,28.779866,28.583847,28.819501,28.718038,28.968165,29.303482,28.629365,28.496305,28.815177,28.974807,29.074054,28.8422,28.96045,28.91944,28.896329,28.667917,28.952743,29.227204,28.656057,28.918242
36,27.333005,27.551798,27.600418,27.648345,27.365041,27.174097,27.034141,27.407249,27.428589,28.019827,27.320283,27.195688,27.683526,27.478338,27.000533,27.296489,27.81743,27.227921,27.649102,27.229572,27.259914,27.495018,27.642736,27.656978,27.6514,27.568127,27.955915,27.438941,27.561326,27.459671,28.132824,28.078223,27.658638,27.820714,27.824764,27.831893,27.844188,27.779194,27.932792,27.76206,27.997754,28.633954,28.001953,27.848668,28.137734,28.175619,28.139245,27.860361,27.882674,27.985934,27.979829,27.867796,27.965229,28.340104,27.658632,28.018404
37,28.450811,28.42996,28.526336,28.697684,28.373364,28.357584,28.255127,28.418549,28.253088,28.547357,28.1849,28.405504,28.693707,28.728146,28.374975,28.58489,28.732823,28.381823,28.555655,28.379791,28.534734,28.656152,28.719592,28.637576,28.748019,28.503217,28.781862,28.663675,28.705445,28.716094,28.84736,29.210528,28.914537,28.791016,28.60132,28.706537,28.741069,28.729107,28.925648,28.915656,28.820109,29.26326,28.983435,28.90684,29.020848,28.912036,28.910111,28.769501,28.853545,28.87496,28.887652,28.885753,28.923106,29.091961,28.854023,28.948744
38,28.272048,28.587358,28.326843,28.543553,28.256375,28.289189,27.980791,28.417805,27.882268,28.171108,27.819666,28.351806,28.361401,28.522025,28.311202,28.175102,28.765397,28.250622,28.442519,28.091652,28.252084,28.740633,28.46297,28.543866,28.675275,28.032048,28.630536,28.447251,28.614792,28.622614,28.479482,28.823629,28.831632,28.779901,28.36936,28.78149,28.449187,28.27102,28.692476,28.719133,28.291471,29.140696,28.725143,28.616879,28.803327,28.732028,28.722908,28.58202,28.787921,28.537989,28.587017,28.591988,28.76747,29.000175,28.539827,28.612289
39,27.681108,28.122383,27.829411,28.01059,27.847127,27.950177,27.704203,28.04867,27.556875,27.906311,27.58804,27.813228,27.961585,28.228509,27.93289,27.712333,28.349084,27.624905,27.835103,27.483869,27.425104,27.964663,27.695526,27.943226,27.995737,27.590352,28.26909,27.968723,27.938562,28.172136,28.130409,28.599697,28.288376,28.120483,27.842015,28.07508,27.851936,27.79488,28.167513,28.220271,27.806395,28.690845,28.206462,28.095828,28.195037,28.245387,28.32613,28.066854,28.26539,27.951377,28.077459,28.132393,28.305125,28.502059,28.008873,28.051421
