Year,FAO,Effective effort (kilowatt)
1950,21,448.42
1950,34,28766.90
1950,41,677.97
1950,61,0.13
1950,67,1627.24
1951,21,1034.88
1951,34,1746880.17
1951,41,625.37
1951,61,0.36
1951,67,1830.93
1952,21,4635.91
1952,34,1465595.19
1952,41,2798.66
1952,61,0.32
1952,67,2494.44
1953,21,12980.31
1953,34,1894960.22
1953,41,6469.86
1953,61,0.31
1953,67,2791.21
1954,21,21654.26
1954,34,2023500.77
1954,41,3061.65
1954,61,0.35
1954,67,3061.24
1955,21,38918.11
1955,34,1998415.14
1955,41,219.70
1955,61,0.35
1955,67,2723.20
1955,71,72017.22
1955,81,895006.20
1956,21,80584.25
1956,34,1542474.70
1956,41,23.86
1956,61,0.17
1956,67,2433.99
1956,71,118640.33
1956,81,798793.06
1957,21,123078.34
1957,34,1829132.82
1957,41,136.54
1957,61,0.27
1957,67,2630.46
1957,71,75353.38
1957,81,910707.33
1958,21,306294.93
1958,34,1760296.90
1958,41,367.36
1958,61,0.17
1958,67,2576.73
1958,71,152670.91
1958,81,930319.52
1959,21,337236.04
1959,34,1860904.87
1959,41,40.84
1959,61,0.20
1959,67,2408.23
1959,71,88849.78
1959,81,1075604.81
1960,21,902.84
1960,34,1651416.84
1960,41,142.80
1960,61,0.18
1960,67,1954.70
1960,71,157480.90
1960,81,994127.00
1961,21,316545.49
1961,34,2225923.57
1961,41,82.85
1961,61,0.19
1961,67,1750.70
1961,71,134429.29
1961,81,49992.45
1962,21,351345.77
1962,34,2345094.46
1962,41,265.44
1962,61,0.17
1962,67,1765.02
1962,71,201416.62
1962,81,98.37
1963,21,2317.33
1963,34,1948242.20
1963,41,1507.90
1963,61,0.15
1963,67,1067.75
1963,71,111533.66
1963,81,142.71
1964,21,3.84
1964,27,448710.69
1964,34,236058.98
1964,41,4151.98
1964,61,152.13
1964,67,708.07
1964,71,133459.99
1964,81,414.03
1965,21,2724.59
1965,27,717520.27
1965,34,255152.18
1965,41,2493.71
1965,61,182.73
1965,67,2221.72
1965,71,166978.56
1965,81,176.72
1966,21,1038279.13
1966,27,144518.18
1966,34,319618.73
1966,41,8223.90
1966,61,213.87
1966,67,28.67
1966,71,379965.82
1966,81,456.75
1967,21,9099.44
1967,27,78391.74
1967,34,150103.26
1967,41,9524.42
1967,47,45.79
1967,61,141.96
1967,67,27.63
1967,71,271416.11
1967,81,89063.48
1968,21,406.89
1968,27,512211.11
1968,34,2009.67
1968,41,9593.21
1968,47,48.94
1968,61,126.44
1968,67,1844.36
1968,71,3439.00
1968,81,83918.84
1969,21,745.14
1969,27,682084.06
1969,34,17666.94
1969,41,26122.80
1969,47,47.32
1969,61,141.79
1969,67,2108.63
1969,71,311479.93
1969,81,235333.39
1970,21,6182.31
1970,27,392460.99
1970,34,22853.68
1970,41,35503.46
1970,48,1097.02
1970,61,183.13
1970,67,156.20
1970,71,0.03
1970,81,94601.64
1971,21,1.52
1971,27,1497479.87
