Year,FAO,FAO_Name,MTI (Marine Trophic Index),FiB (Fishing-in-Balance index)
1950,18,Arctic Sea,3.331566094,0
1951,18,Arctic Sea,3.331704879,0.682210402
1952,18,Arctic Sea,3.334722293,1.282465153
1953,18,Arctic Sea,3.336353002,1.916291905
1954,18,Arctic Sea,3.336999363,2.558765257
1955,18,Arctic Sea,3.337030489,2.764236328
1956,18,Arctic Sea,3.33698477,2.765072609
1957,18,Arctic Sea,3.336979103,2.765798668
1958,18,Arctic Sea,3.336933321,2.7666328
1959,18,Arctic Sea,3.336797606,2.767495536
1960,18,Arctic Sea,3.33740274,2.757582055
1961,18,Arctic Sea,3.33725619,2.75867156
1962,18,Arctic Sea,3.337220484,2.759548648
1963,18,Arctic Sea,3.33756159,2.761907399
1964,18,Arctic Sea,3.337158177,2.761081675
1965,18,Arctic Sea,3.337122668,2.761956641
1966,18,Arctic Sea,3.33708723,2.762830842
1967,18,Arctic Sea,3.337060706,2.763485963
1968,18,Arctic Sea,3.337016563,2.764576949
1969,18,Arctic Sea,3.336990147,2.765230918
1970,18,Arctic Sea,3.336954972,2.766102252
1971,18,Arctic Sea,3.33701175,2.767198053
1972,18,Arctic Sea,3.336872383,2.768542592
1973,18,Arctic Sea,3.336853332,2.768723651
1974,18,Arctic Sea,3.336876698,2.768652332
1975,18,Arctic Sea,3.336885512,2.768434909
1976,18,Arctic Sea,3.33688897,2.768446897
1977,18,Arctic Sea,3.336901489,2.771162421
1978,18,Arctic Sea,3.337176122,2.789225853
1979,18,Arctic Sea,3.33740174,2.808926536
1980,18,Arctic Sea,3.337366031,2.804769202
1981,18,Arctic Sea,3.338032417,2.813656385
1982,18,Arctic Sea,3.33707939,2.792899234
1983,18,Arctic Sea,3.336919589,2.755741318
1984,18,Arctic Sea,3.338121839,2.94377282
1985,18,Arctic Sea,3.338788115,3.106153594
1986,18,Arctic Sea,3.339899207,3.517450124
1987,18,Arctic Sea,3.337817203,3.233162497
1988,18,Arctic Sea,3.337131746,3.222220409
1989,18,Arctic Sea,3.33688668,3.388185881
1990,18,Arctic Sea,3.337141762,3.395418471
1991,18,Arctic Sea,3.336671149,3.313060716
1992,18,Arctic Sea,3.336263864,3.270539711
1993,18,Arctic Sea,3.336379507,3.27819608
1994,18,Arctic Sea,3.335763911,3.281180408
1995,18,Arctic Sea,3.335594411,3.235783077
1996,18,Arctic Sea,3.33559445,3.235782957
1997,18,Arctic Sea,3.336299342,3.287428033
1998,18,Arctic Sea,3.336700157,3.302606492
1999,18,Arctic Sea,3.336534416,3.305830761
2000,18,Arctic Sea,3.336656012,3.315182793
2001,18,Arctic Sea,3.336266791,3.285536992
2002,18,Arctic Sea,3.335587538,3.235699502
2003,18,Arctic Sea,3.335587516,3.235699568
2004,18,Arctic Sea,3.33524978,3.244520764
2005,18,Arctic Sea,3.335585355,3.235692062
2006,18,Arctic Sea,3.335587516,3.235699568
2010,18,Arctic Sea,3.099999905,-5.510798159
1950,57,Eastern Indian Ocean,3.353533247,0
1951,57,Eastern Indian Ocean,3.856790556,-0.251738593
1952,57,Eastern Indian Ocean,3.962680679,3.964051598
1953,57,Eastern Indian Ocean,4.09542302,4.455469411
1954,57,Eastern Indian Ocean,4.235013353,5.389965562
1955,57,Eastern Indian Ocean,4.202617213,5.185997794
1956,57,Eastern Indian Ocean,4.21077418,5.55128703
1957,57,Eastern Indian Ocean,4.221741845,5.569063479
1958,57,Eastern Indian Ocean,4.204546477,5.218937632
1959,57,Eastern Indian Ocean,4.103573651,5.268589708
1960,57,Eastern Indian Ocean,4.165834096,5.520995444
1961,57,Eastern Indian Ocean,4.119877372,5.426298095
1962,57,Eastern Indian Ocean,4.185177556,5.639575809
1963,57,Eastern Indian Ocean,4.105543688,5.285456392
1964,57,Eastern Indian Ocean,4.056212782,5.289415275
1965,57,Eastern Indian Ocean,4.076753418,5.472825558
1966,57,Eastern Indian Ocean,4.045822906,5.084617994
1967,57,Eastern Indian Ocean,4.049575407,5.497221821
1968,57,Eastern Indian Ocean,4.070783698,5.550503731
1969,57,Eastern Indian Ocean,4.076326303,5.259059333
1970,57,Eastern Indian Ocean,3.744569307,5.109537061
1971,57,Eastern Indian Ocean,3.687075698,5.049157112
1972,57,Eastern Indian Ocean,3.622356914,5.015912898
1973,57,Eastern Indian Ocean,3.853306422,4.748108538
1974,57,Eastern Indian Ocean,3.822801579,5.105760292
1975,57,Eastern Indian Ocean,3.948412719,5.590669082
1976,57,Eastern Indian Ocean,3.961167426,5.998806333
1977,57,Eastern Indian Ocean,3.854965119,6.161008372
1978,57,Eastern Indian Ocean,3.902200181,6.408815747
1979,57,Eastern Indian Ocean,3.934929816,6.683768411
1980,57,Eastern Indian Ocean,3.949040972,6.816752519
1981,57,Eastern Indian Ocean,3.898208806,6.610735679
1982,57,Eastern Indian Ocean,3.722673662,6.466474556
1983,57,Eastern Indian Ocean,3.694467144,6.594945254
1984,57,Eastern Indian Ocean,3.665903618,6.549667344
1985,57,Eastern Indian Ocean,3.609406349,6.576434379
1986,57,Eastern Indian Ocean,3.577409034,6.669665525
1987,57,Eastern Indian Ocean,3.587695762,6.782804099
1988,57,Eastern Indian Ocean,3.618555414,6.77126117
1989,57,Eastern Indian Ocean,3.557443143,6.769877366
1990,57,Eastern Indian Ocean,3.546497357,6.737012857
1991,57,Eastern Indian Ocean,3.586680529,6.846272386
1992,57,Eastern Indian Ocean,3.559152785,6.857665646
1993,57,Eastern Indian Ocean,3.62474107,7.081039797
1994,57,Eastern Indian Ocean,3.694286799,7.205581653
1995,57,Eastern Indian Ocean,3.751930866,7.455157031
1996,57,Eastern Indian Ocean,3.764330353,7.517957076
1997,57,Eastern Indian Ocean,3.787964474,7.637030007
1998,57,Eastern Indian Ocean,3.779471166,7.693982158
1999,57,Eastern Indian Ocean,3.746201409,7.754725098
2000,57,Eastern Indian Ocean,3.730392303,7.746612807
2001,57,Eastern Indian Ocean,3.748329275,7.644982459
2002,57,Eastern Indian Ocean,3.742518483,7.708163821
2003,57,Eastern Indian Ocean,3.702214389,7.620929883
2004,57,Eastern Indian Ocean,3.67608239,7.680324755
2005,57,Eastern Indian Ocean,3.64180546,7.441938717
2006,57,Eastern Indian Ocean,3.613630718,7.441966312
2007,57,Eastern Indian Ocean,3.696830654,7.656526911
2008,57,Eastern Indian Ocean,3.715228719,7.728822469
2009,57,Eastern Indian Ocean,3.69694362,7.776810032
